"Population at the first day of the quarter by marital status, sex,"
"region, age and time"

" "," "," "," ","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4"
"Total"
" ","Total"
" "," ","All Denmark"
" "," "," ","72 years",43137,43731,44571,44682,45110,45251,44967,45133,45336,45421,46609,46830,47519,47730,47116,47683,48277,48954,50291,51902,53626,54998,55905,56647,57209,58270,60172,61182,62311,63158,64161,65274,65982,66625,67747,68979,69297,69167,68776,68501,68012,67036,65915,64278,63266,63024,61932,61256,60301
" "," "," ","73 years",40530,41087,41256,41813,41924,42517,43368,43515,43946,44128,43835,43963,44224,44338,45507,45781,46400,46611,46076,46680,47245,47876,49134,50747,52430,53758,54722,55507,56035,57059,58873,59883,61009,61802,62740,63924,64615,65221,66333,67595,67926,67743,67380,67129,66690,65776,64657,62974,61958
" "," "," ","74 years",38561,38194,38307,38934,39311,39807,40033,40591,40764,41333,42206,42344,42780,42919,42625,42790,43110,43228,44393,44680,45319,45513,44978,45503,46104,46764,47963,49513,51179,52500,53462,54255,54774,55754,57521,58443,59566,60360,61333,62424,63111,63780,64847,66101,66472,66246,65870,65693,65226
" "," "," ","75 years",35685,36166,36363,36852,37324,36966,37100,37718,38100,38612,38857,39387,39556,40170,40968,41090,41518,41726,41475,41679,41960,42093,43210,43502,44135,44315,43767,44347,44906,45541,46720,48251,49845,51165,52064,52859,53296,54278,55993,56925,58066,58778,59773,60825,61508,62193,63235,64454,64799
" "," "," ","76 years",33105,33378,34076,34472,34409,34877,35060,35558,36011,35642,35722,36408,36839,37319,37543,38104,38285,38953,39774,39889,40242,40434,40245,40453,40824,40935,42054,42298,42934,43056,42539,43065,43609,44244,45317,46822,48424,49698,50662,51356,51791,52778,54411,55318,56428,57095,58146,59167,59761
" "," "," ","77 years",31727,31868,31507,31509,31791,32086,32721,33059,33018,33463,33660,34136,34618,34311,34390,35066,35520,36015,36279,36836,37039,37706,38414,38595,38890,39125,38941,39224,39579,39650,40725,40995,41607,41718,41182,41719,42239,42819,43887,45368,46996,48254,49091,49788,50215,51146,52714,53627,54679
" "," "," ","78 years",30193,29831,30147,30244,30274,30353,30067,30142,30434,30691,31316,31637,31554,31991,32139,32624,33149,32921,33097,33770,34212,34612,34894,35466,35719,36344,37048,37176,37492,37712,37511,37774,38211,38303,39255,39527,40093,40197,39736,40255,40779,41368,42484,43877,45452,46603,47454,48134,48500
" "," "," ","79 years",28124,28397,28468,28345,28609,28351,28679,28725,28758,28858,28653,28694,29019,29298,29851,30194,30082,30549,30799,31267,31759,31549,31645,32326,32760,33154,33441,34022,34289,34908,35564,35748,35966,36218,36052,36327,36746,36801,37772,38067,38583,38658,38274,38806,39325,39889,40936,42280,43776
" "," "," ","80 years",27001,26610,26390,26609,26522,26778,26854,26829,27154,26895,27110,27179,27195,27301,27098,27172,27514,27796,28362,28779,28681,29131,29292,29734,30267,30067,30233,30839,31195,31627,31943,32515,32811,33410,33967,34132,34339,34621,34507,34744,35131,35232,36179,36443,36971,37008,36670,37204,37670
" "," "," ","81 years",25188,25646,25525,25461,25357,24974,24824,24989,24949,25224,25332,25330,25595,25324,25515,25578,25622,25738,25607,25722,26076,26327,26891,27257,27152,27539,27678,28157,28728,28520,28642,29238,29627,30040,30304,30882,31118,31702,32346,32512,32725,32993,32842,33117,33514,33551,34441,34730,35187
" "," "," ","82 years",23649,23176,23374,23297,23435,23830,23745,23717,23716,23377,23241,23354,23295,23525,23546,23591,23926,23700,23945,24045,24091,24214,24072,24229,24529,24737,25257,25612,25531,25960,26095,26530,27090,26815,26969,27494,27863,28321,28632,29221,29464,29985,30651,30810,31040,31267,31077,31369,31738
" "," "," ","83 years",21844,21917,21791,21903,21898,21446,21623,21606,21719,22102,22023,22025,21998,21673,21499,21605,21547,21816,21938,21988,22284,22111,22319,22375,22513,22606,22486,22601,22920,23077,23563,23896,23814,24224,24369,24745,25245,24980,25181,25741,26148,26583,26874,27424,27663,28176,28824,29027,29215
" "," "," ","84 years",20421,20198,20158,20140,20088,20161,19995,20078,20144,19724,19881,19857,19985,20347,20200,20256,20285,19976,19884,19977,19890,20147,20194,20293,20520,20420,20635,20683,20804,20943,20830,20968,21219,21437,21850,22122,22034,22464,22615,22981,23443,23170,23395,23891,24269,24708,24988,25551,25820
" "," "," ","85 years",18321,18496,18497,18572,18533,18298,18326,18376,18296,18433,18254,18374,18449,18030,18140,18104,18243,18532,18502,18589,18627,18401,18218,18295,18252,18487,18540,18639,18874,18751,18927,18949,19099,19192,19076,19216,19493,19696,20114,20358,20307,20704,20864,21219,21669,21349,21587,22047,22391
" "," "," ","86 years",16204,16402,16298,16354,16497,16651,16652,16739,16745,16483,16603,16671,16647,16691,16445,16575,16652,16341,16531,16461,16542,16846,16819,16913,16926,16674,16520,16579,16599,16829,16897,16951,17141,17027,17097,17222,17305,17415,17400,17531,17770,17963,18334,18604,18545,18866,18973,19350,19702
" "," "," ","87 years",14443,13954,13980,14174,14308,14520,14484,14545,14674,14925,14897,14907,14914,14804,14828,14924,14939,15038,14869,14974,15036,14724,14835,14755,14858,15126,15110,15139,15076,14918,14758,14832,14860,15043,15084,15151,15330,15166,15323,15477,15594,15647,15653,15783,15991,16096,16444,16686,16589
" "," "," ","88 years",12963,13110,12985,12795,12583,12168,12255,12425,12614,12774,12812,12845,12978,13140,13065,13097,13124,13043,13136,13258,13242,13313,13156,13228,13274,13005,13144,13064,13174,13338,13294,13388,13358,13159,12947,13011,13044,13259,13289,13379,13552,13431,13591,13742,13855,13885,13879,13988,14178
" "," "," ","89 years",11665,11382,11119,11103,11245,11313,11199,11130,10948,10591,10668,10822,11025,11216,11137,11120,11193,11386,11417,11421,11453,11422,11430,11528,11600,11633,11464,11555,11612,11382,11493,11397,11523,11707,11597,11635,11531,11379,11249,11309,11387,11590,11635,11679,11873,11742,11872,12008,12042
" "," "," ","90 years",7876,8279,8998,9627,9949,9684,9523,9455,9604,9633,9532,9547,9377,9051,9081,9233,9384,9528,9558,9611,9620,9740,9745,9770,9845,9810,9829,9945,9987,9981,9831,9918,9965,9763,9729,9655,9786,9939,9924,9946,9916,9717,9602,9702,9766,9971,10003,10010,10167
" "," "," ","91 years",6894,6967,6784,6615,6524,6891,7466,8023,8310,8151,8028,7964,8073,8130,7921,7865,7796,7614,7704,7869,7988,8061,8050,8039,8058,8172,8254,8267,8335,8262,8161,8218,8352,8401,8281,8306,8275,8117,8163,8123,8233,8368,8383,8375,8312,8144,8101,8179,8214
" "," "," ","92 years",5525,5482,5526,5533,5653,5700,5511,5359,5318,5656,6158,6602,6868,6740,6580,6550,6600,6650,6538,6541,6452,6248,6301,6446,6571,6658,6635,6643,6659,6791,6814,6858,6863,6773,6734,6807,6894,6882,6857,6845,6851,6701,6692,6687,6813,6919,6958,6997,6868
" "," "," ","93 years",4459,4465,4395,4422,4430,4388,4396,4447,4509,4509,4387,4288,4289,4552,4928,5278,5506,5430,5316,5311,5378,5422,5224,5174,5131,4914,4992,5213,5321,5400,5346,5320,5361,5471,5437,5454,5440,5446,5448,5563,5642,5605,5584,5535,5523,5392,5359,5384,5523
" "," "," ","94 years",3242,3216,3272,3392,3468,3503,3454,3480,3436,3422,3440,3464,3549,3596,3471,3361,3370,3572,3936,4237,4339,4245,4157,4206,4223,4236,4094,4014,4023,3816,3895,4078,4148,4183,4150,4162,4172,4277,4264,4274,4320,4323,4330,4404,4437,4405,4330,4308,4275
" "," "," ","95 years",2614,2640,2614,2581,2513,2487,2543,2632,2699,2681,2646,2665,2639,2616,2587,2597,2674,2739,2737,2681,2668,2824,3046,3197,3276,3268,3196,3238,3269,3273,3146,3066,3055,2931,2959,3087,3126,3159,3165,3204,3224,3265,3268,3295,3323,3309,3340,3355,3350
" "," "," ","96 years",1818,1824,1850,1916,1947,1958,1964,1890,1856,1879,1907,1970,2028,2001,1945,1991,1952,1939,1941,1964,2041,2052,2034,1977,2003,2092,2297,2387,2473,2446,2357,2418,2436,2425,2294,2238,2260,2165,2213,2290,2291,2322,2386,2443,2410,2480,2474,2484,2506
" "," "," ","97 years",1317,1371,1314,1308,1299,1264,1312,1344,1394,1403,1374,1348,1363,1354,1349,1385,1467,1486,1462,1475,1447,1418,1390,1401,1477,1504,1479,1441,1466,1531,1676,1739,1767,1761,1704,1715,1715,1708,1638,1614,1642,1578,1643,1705,1718,1730,1742,1761,1755
" "," "," ","98 years",884,868,915,921,958,990,936,909,884,882,928,942,970,982,957,928,917,932,985,1023,1068,1083,1048,1049,1026,1003,989,994,1041,1062,1059,1039,1054,1117,1178,1208,1216,1195,1202,1200,1189,1193,1172,1132,1139,1101,1163,1218,1221
" "," "," ","99 years",623,618,601,586,601,601,644,648,678,695,651,640,611,601,619,631,638,639,637,628,630,658,672,695,745,749,727,725,695,671,653,678,715,722,687,688,703,752,797,818,835,822,791,794,802,806,786,764,755
" "," "," ","100 years",362,360,374,394,395,385,368,372,400,408,434,427,454,462,409,409,399,403,426,431,423,416,398,406,406,425,456,474,496,505,482,458,435,432,431,438,463,458,443,441,462,490,527,547,561,531,522,526,535
" "," "," ","101 years",246,258,235,220,202,218,224,233,240,227,239,230,221,245,268,261,277,279,264,275,271,248,273,263,271,258,253,253,260,284,293,299,304,307,292,282,250,257,266,277,285,290,299,281,280,298,331,339,344
" "," "," ","102 years",110,117,145,147,153,154,149,140,128,125,127,147,143,133,137,138,130,150,173,158,165,180,182,177,162,162,168,164,163,154,149,137,148,158,161,170,184,184,166,149,136,134,143,166,178,173,168,172,164
" "," "," ","103 years",67,71,70,64,73,64,72,81,89,94,84,75,72,79,70,77,86,76,83,86,81,87,87,86,101,111,104,98,91,88,90,95,103,88,92,80,80,91,97,102,108,108,87,84,76,81,90,97,104
" "," "," ","104 years",42,38,40,41,36,40,34,33,36,28,38,45,43,55,53,47,40,41,37,48,48,49,48,50,43,52,49,49,51,60,64,58,51,53,52,60,63,51,50,46,48,54,63,64,62,64,55,42,37
" "," "," ","105 years",27,27,23,21,21,18,18,20,21,25,17,16,17,12,17,23,25,33,30,24,18,21,23,24,24,22,28,26,26,29,21,23,25,37,31,31,28,30,32,37,39,30,25,20,24,27,30,34,35
" "," "," ","106 years",7,12,13,15,14,11,12,10,6,7,8,13,15,14,8,6,3,3,8,12,13,14,10,11,10,15,10,12,15,14,18,11,4,5,9,12,17,21,20,17,15,18,16,19,18,14,15,10,13
" "," "," ","107 years",3,3,3,4,5,8,5,9,9,7,7,5,3,4,6,8,8,7,3,3,1,1,7,9,10,9,6,5,4,5,3,9,11,9,7,3,1,2,3,4,5,8,13,8,8,8,7,7,6
" "," "," ","108 years",3,3,2,2,1,1,2,2,1,3,3,4,5,3,2,1,0,2,6,6,5,4,1,0,0,0,2,4,4,3,4,2,1,2,2,4,5,5,5,2,0,0,1,2,3,4,4,3,3
" "," "," ","109 years",0,0,0,1,1,1,1,0,0,0,0,0,0,2,1,2,2,1,1,0,0,1,3,4,4,3,1,0,0,0,0,2,3,2,2,1,1,2,1,2,4,1,1,1,0,0,0,0,1
" "," "," ","110 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,2,1,1,1,0,0,0,0,0,1,2,2,2,0,0,0,0,0,1,1,1,1,0
" "," "," ","111 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
" "," "," ","112 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
" "," "," ","113 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," "," ","114 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," "," ","115 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," "," ","116 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," "," ","117 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," "," ","118 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," "," ","119 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," "," ","120 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," "," ","121 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," "," ","122 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," "," ","123 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," "," ","124 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," "," ","125 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

