"Population at the first day of the quarter by marital status, sex,"
"region, age and time"

" "," "," "," ","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4"
"Total"
" ","Total"
" "," ","All Denmark"
" "," "," ","16 years",71001,70482,70228,70959,71294,73020,73753,73122,73774,72740,71953,71008,70155,70278,70050,70664,71285,70073,69398,68325,68540,68822,68752,69223,69058,68772,68892,68917,69195,69839,69578,68976,68862,68201,67690,67120,67285,67142,66698,66667,67623,67948,68490,68268,68059,68246,68053,68169,68548
" "," "," ","17 years",70333,71164,71338,71166,71159,70615,70450,71277,71438,73204,74062,73461,73915,72834,72151,71297,70382,70507,70370,71025,71509,70306,69786,68822,68907,69287,69345,69878,69647,69260,69463,69425,69519,70115,69900,69391,68938,68260,67819,67369,67419,67304,66902,66935,67736,68088,68665,68525,68288
" "," "," ","18 years",68256,68151,69006,69355,70607,71376,71462,71304,71415,70840,70592,71426,71836,73491,74219,73603,74327,73255,72531,71619,70971,70973,70817,71481,72454,71131,70528,69460,69885,70008,69936,70303,70306,69781,69962,69863,70102,70566,70216,69582,69503,68639,68164,67578,67899,67674,67186,67172,68469
" "," "," ","19 years",68133,68585,68581,68866,69186,69145,69947,70025,71515,72454,72491,72041,72508,72028,71707,72284,72914,74737,75444,74599,75789,74684,73924,72768,72659,72647,72541,72962,74000,72688,72002,70701,71238,71269,71209,71460,71682,70935,71078,70756,71261,71623,71303,70472,70396,69581,69046,68446,69290
" "," "," ","20 years",67580,67428,68505,68069,69945,69776,70294,70237,71313,70821,71763,71336,73766,73946,74461,73498,74941,73470,73689,73813,75418,76210,77751,76590,78797,76989,76586,74780,75522,74572,75041,74668,76561,74585,74220,72232,73805,72820,73424,72792,73842,72131,72474,71986,72121,72666,72268,71724,72207
" "," "," ","21 years",65976,66525,67370,67206,68729,68877,70000,69443,71179,71793,71956,71680,72411,72131,73626,72997,74991,75528,76133,75016,75803,74883,75619,76100,76893,78470,79887,78320,80080,78567,78510,76442,76488,76294,76698,76331,77779,75806,75922,73685,74580,73901,73901,73774,73531,72840,72899,72776,73808
" "," "," ","22 years",64608,64575,65578,65261,66953,67544,67984,68345,69598,70043,70870,70664,72048,72597,72708,72825,73341,73075,74147,74195,75858,76460,76772,76376,77282,76602,76831,77306,78458,79900,80747,79704,81047,79720,78992,77569,77446,77306,77326,77539,78449,76462,75675,74078,74470,74517,74241,74570,75188
" "," "," ","23 years",64361,64683,65016,64995,65649,65672,66364,66139,67749,68614,69160,69555,70751,71337,72078,71929,73370,73849,73838,74105,74690,74419,75346,75522,77528,78420,78498,78146,79042,78399,78289,78769,79763,81298,81970,80970,82208,80841,80249,79028,78390,78029,77696,77909,78645,77321,76342,75099,75932
" "," "," ","24 years",62699,63324,63951,64271,65122,65590,65811,65841,66142,66204,67169,67156,68733,69614,70132,70629,71762,72352,73253,73279,74481,75068,75291,75741,76201,76268,77330,77384,79090,79884,79934,79705,80273,79675,79552,80045,80592,82217,82955,82060,82863,81368,80582,79143,78516,78560,78170,78818,79738
" "," "," ","25 years",61175,61319,61513,62211,63288,63940,64496,64914,65591,65898,66178,66378,66768,67004,67943,68100,69534,70466,70950,71702,72679,73224,74285,74631,75827,76637,76869,77454,77540,77491,78513,78617,80022,80773,80844,80703,80903,80203,80190,80873,80891,82438,83042,81992,82504,81455,80664,79728,79147
" "," "," ","26 years",60624,60402,60855,61288,61692,61909,62009,62712,63722,64405,65017,65496,65981,66454,66881,67252,67578,67731,68754,69047,70391,71192,71793,72823,73868,74593,75609,75983,77024,77537,77697,78379,78215,78085,79000,79284,80531,81198,81245,81210,81146,80189,79908,80526,80466,82285,82887,82197,82884
" "," "," ","27 years",61713,61909,61215,60755,61121,61038,61456,61826,62157,62242,62385,63162,64138,64870,65437,65969,66525,67040,67524,67998,68126,68448,69547,70102,71511,72478,73100,74026,74881,75429,76427,76673,77571,78238,78218,78851,78647,78497,79324,79636,80709,81165,80970,80636,80651,79907,79715,80516,80754
" "," "," ","28 years",62289,61797,62312,62433,62129,62438,61604,61200,61378,61137,61662,62044,62361,62604,62744,63588,64610,65403,66036,66592,67166,67569,68265,68860,69299,69675,70699,71152,72417,73334,73770,74713,75530,75949,76919,77243,78080,78625,78574,79118,78837,78497,79094,79272,80197,80915,80808,80732,80915
" "," "," ","29 years",66058,65543,64029,62945,62685,62223,62752,62805,62372,62508,61734,61364,61363,61290,61836,62318,62778,63067,63246,64125,65145,65925,66646,67325,67988,68600,69246,69869,70087,70326,71351,71714,72770,73732,74172,75068,75849,76366,77219,77570,78183,78521,78369,78721,78378,78274,78952,79285,80465
" "," "," ","30 years",67030,66812,66855,66422,66305,65884,64286,63215,62925,62211,62769,62829,62358,62653,61892,61558,61797,61688,62329,62860,63311,63633,63858,64894,66056,66944,67651,68247,68821,69318,69933,70302,70632,70747,71675,71951,73079,73938,74344,75220,75905,76209,77029,77161,77776,78313,78247,78820,78505
" "," "," ","31 years",69423,69010,68616,67968,67262,67084,67127,66740,66553,66045,64450,63263,62921,62371,62935,63061,62744,63077,62389,62111,62407,62306,63049,63722,64162,64561,64744,65762,66822,67511,68185,68728,69188,69599,70132,70591,70803,70861,71804,72138,73138,73803,74152,74854,75539,76025,76776,77122,77889
" "," "," ","32 years",68390,68645,68290,69087,69531,69120,68824,68189,67467,67213,67292,66923,66711,66222,64591,63539,63251,62799,63512,63578,63269,63600,63040,62852,63220,63164,63835,64425,64842,65137,65279,66195,67196,67923,68488,68955,69320,69787,70270,70763,70755,70680,71530,71695,72755,73727,74080,74931,75718
" "," "," ","33 years",73304,71457,70198,69181,68590,68830,68505,69314,69673,69204,68947,68318,67617,67399,67469,67130,66989,66506,64931,63979,63665,63364,64068,64299,63985,64409,63791,63524,63871,63691,64364,64884,65216,65377,65426,66342,67430,68128,68645,69050,69384,69626,70113,70463,70505,70658,71642,72035,73193
" "," "," ","34 years",77491,77445,76493,75212,73460,71675,70379,69357,68738,68948,68612,69473,69840,69418,69139,68496,67943,67820,67951,67586,67495,66966,65482,64661,64444,64090,64831,64880,64527,64889,64247,63941,64243,64011,64686,65052,65401,65560,65702,66572,67463,68028,68451,68887,69292,69744,70258,70727,70871
" "," "," ","35 years",76211,76310,76524,77217,77649,77639,76691,75364,73602,71720,70521,69513,68907,69096,68821,69700,70033,69729,69535,68937,68411,68267,68427,68179,68125,67715,66144,65312,65019,64543,65309,65361,64945,65269,64556,64216,64488,64248,64799,65190,65430,65478,65539,66334,67401,68085,68614,69168,69673
" "," "," ","36 years",76838,76502,76435,76028,76304,76523,76694,77368,77746,77694,76742,75422,73656,71821,70651,69682,69133,69352,69131,70069,70448,70092,69977,69441,68963,68896,69048,68708,68638,68146,66574,65596,65313,64842,65586,65551,65167,65526,64750,64378,64477,64089,64589,64944,65261,65547,65680,66620,67647
" "," "," ","37 years",80696,79810,79185,77801,76990,76594,76531,76141,76384,76540,76723,77411,77800,77798,76842,75590,73850,72065,70980,70073,69501,69770,69541,70557,70927,70636,70461,69905,69381,69259,69313,68922,68841,68297,66812,65816,65466,64925,65670,65702,65197,65452,64564,64151,64339,64162,64747,65193,65590
" "," "," ","38 years",78116,78985,80124,80883,80737,79924,79213,77779,76980,76588,76546,76175,76448,76621,76895,77518,77992,77999,77077,75879,74213,72430,71401,70504,69981,70262,69974,70888,71289,70983,70748,70113,69583,69411,69451,69126,69055,68520,67007,65969,65547,64948,65622,65531,65093,65456,64638,64323,64584
" "," "," ","39 years",75428,75786,76341,77212,78237,79108,80214,80923,80751,79873,79174,77759,76981,76635,76588,76239,76557,76790,77123,77829,78265,78306,77425,76296,74704,72916,71855,70870,70306,70492,70225,71102,71517,71189,70941,70319,69775,69668,69660,69266,69053,68495,66933,65807,65464,64962,65688,65713,65341
" "," "," ","40 years",75975,75578,74945,75109,75449,75808,76324,77200,78209,78995,80154,80954,80750,79921,79209,77842,77067,76783,76699,76417,76775,77079,77383,78153,78674,78713,77823,76669,75074,73156,72061,71055,70403,70580,70382,71301,71691,71301,71077,70455,69792,69580,69561,69144,69041,68557,67011,66023,65777
