"Deaths per day (experimental statistics) by sex, age and time"

" "," ","2019M01D01","2019M01D02","2019M01D03","2019M01D04","2019M01D05","2019M01D06","2019M01D07","2019M01D08","2019M01D09","2019M01D10","2019M01D11","2019M01D12","2019M01D13","2019M01D14","2019M01D15","2019M01D16","2019M01D17","2019M01D18","2019M01D19","2019M01D20","2019M01D21","2019M01D22","2019M01D23","2019M01D24","2019M01D25","2019M01D26","2019M01D27","2019M01D28","2019M01D29","2019M01D30","2019M01D31","2019M02D01","2019M02D02","2019M02D03","2019M02D04","2019M02D05","2019M02D06","2019M02D07","2019M02D08","2019M02D09","2019M02D10","2019M02D11","2019M02D12","2019M02D13","2019M02D14","2019M02D15","2019M02D16","2019M02D17","2019M02D18","2019M02D19","2019M02D20","2019M02D21","2019M02D22","2019M02D23","2019M02D24","2019M02D25","2019M02D26","2019M02D27","2019M02D28","2019M03D01","2019M03D02","2019M03D03","2019M03D04","2019M03D05","2019M03D06","2019M03D07","2019M03D08","2019M03D09","2019M03D10","2019M03D11","2019M03D12","2019M03D13","2019M03D14","2019M03D15","2019M03D16","2019M03D17","2019M03D18","2019M03D19","2019M03D20","2019M03D21","2019M03D22","2019M03D23","2019M03D24","2019M03D25","2019M03D26","2019M03D27","2019M03D28","2019M03D29","2019M03D30","2019M03D31","2019M04D01","2019M04D02","2019M04D03","2019M04D04","2019M04D05","2019M04D06","2019M04D07","2019M04D08","2019M04D09","2019M04D10","2019M04D11","2019M04D12","2019M04D13","2019M04D14","2019M04D15","2019M04D16","2019M04D17","2019M04D18","2019M04D19","2019M04D20","2019M04D21","2019M04D22","2019M04D23","2019M04D24","2019M04D25","2019M04D26","2019M04D27","2019M04D28","2019M04D29","2019M04D30","2019M05D01","2019M05D02","2019M05D03","2019M05D04","2019M05D05","2019M05D06","2019M05D07","2019M05D08","2019M05D09","2019M05D10","2019M05D11","2019M05D12","2019M05D13","2019M05D14","2019M05D15","2019M05D16","2019M05D17","2019M05D18","2019M05D19","2019M05D20","2019M05D21","2019M05D22","2019M05D23","2019M05D24","2019M05D25","2019M05D26","2019M05D27","2019M05D28","2019M05D29","2019M05D30","2019M05D31","2019M06D01","2019M06D02","2019M06D03","2019M06D04","2019M06D05","2019M06D06","2019M06D07","2019M06D08","2019M06D09","2019M06D10","2019M06D11","2019M06D12","2019M06D13","2019M06D14","2019M06D15","2019M06D16","2019M06D17","2019M06D18","2019M06D19","2019M06D20","2019M06D21","2019M06D22","2019M06D23","2019M06D24","2019M06D25","2019M06D26","2019M06D27","2019M06D28","2019M06D29","2019M06D30","2019M07D01","2019M07D02","2019M07D03","2019M07D04","2019M07D05","2019M07D06","2019M07D07","2019M07D08","2019M07D09","2019M07D10","2019M07D11","2019M07D12","2019M07D13","2019M07D14","2019M07D15","2019M07D16","2019M07D17","2019M07D18","2019M07D19","2019M07D20","2019M07D21","2019M07D22","2019M07D23","2019M07D24","2019M07D25","2019M07D26","2019M07D27","2019M07D28","2019M07D29","2019M07D30","2019M07D31","2019M08D01","2019M08D02","2019M08D03","2019M08D04","2019M08D05","2019M08D06","2019M08D07","2019M08D08","2019M08D09","2019M08D10","2019M08D11","2019M08D12","2019M08D13","2019M08D14","2019M08D15","2019M08D16","2019M08D17","2019M08D18","2019M08D19","2019M08D20","2019M08D21","2019M08D22","2019M08D23","2019M08D24","2019M08D25","2019M08D26","2019M08D27","2019M08D28","2019M08D29","2019M08D30","2019M08D31","2019M09D01","2019M09D02","2019M09D03","2019M09D04","2019M09D05","2019M09D06","2019M09D07","2019M09D08","2019M09D09","2019M09D10","2019M09D11","2019M09D12","2019M09D13","2019M09D14","2019M09D15","2019M09D16","2019M09D17","2019M09D18","2019M09D19","2019M09D20","2019M09D21","2019M09D22","2019M09D23","2019M09D24","2019M09D25","2019M09D26","2019M09D27","2019M09D28","2019M09D29","2019M09D30","2019M10D01","2019M10D02","2019M10D03","2019M10D04","2019M10D05","2019M10D06","2019M10D07","2019M10D08","2019M10D09","2019M10D10","2019M10D11","2019M10D12","2019M10D13","2019M10D14","2019M10D15","2019M10D16","2019M10D17","2019M10D18","2019M10D19","2019M10D20","2019M10D21","2019M10D22","2019M10D23","2019M10D24","2019M10D25","2019M10D26","2019M10D27","2019M10D28","2019M10D29","2019M10D30","2019M10D31","2019M11D01","2019M11D02","2019M11D03","2019M11D04","2019M11D05","2019M11D06","2019M11D07","2019M11D08","2019M11D09","2019M11D10","2019M11D11","2019M11D12","2019M11D13","2019M11D14","2019M11D15","2019M11D16","2019M11D17","2019M11D18","2019M11D19","2019M11D20","2019M11D21","2019M11D22","2019M11D23","2019M11D24","2019M11D25","2019M11D26","2019M11D27","2019M11D28","2019M11D29","2019M11D30","2019M12D01","2019M12D02","2019M12D03","2019M12D04","2019M12D05","2019M12D06","2019M12D07","2019M12D08","2019M12D09","2019M12D10","2019M12D11","2019M12D12","2019M12D13","2019M12D14","2019M12D15","2019M12D16","2019M12D17","2019M12D18","2019M12D19","2019M12D20","2019M12D21","2019M12D22","2019M12D23","2019M12D24","2019M12D25","2019M12D26","2019M12D27","2019M12D28","2019M12D29","2019M12D30","2019M12D31"
"Total"
" ","Total",151,173,153,154,182,161,172,180,175,156,160,156,156,169,158,159,167,164,156,145,146,149,162,147,175,154,152,182,151,155,181,193,174,173,165,181,201,172,183,172,176,162,140,164,180,181,171,178,179,161,136,155,168,142,169,152,161,163,183,135,152,144,143,140,144,172,161,140,151,140,142,151,153,166,155,156,146,165,141,135,155,156,141,143,166,133,150,152,146,132,136,152,150,156,166,165,160,139,149,145,153,136,141,155,167,142,143,162,139,150,143,161,150,134,130,137,162,141,141,164,151,204,142,137,128,139,157,150,155,154,146,127,145,136,148,140,135,138,132,137,141,155,142,132,120,143,135,158,134,128,148,133,147,147,144,140,150,154,137,119,153,136,122,147,134,135,142,126,159,158,169,129,140,134,138,150,151,161,139,128,135,146,138,126,130,127,137,131,138,155,106,139,124,155,136,141,148,130,142,133,148,135,134,139,142,157,140,129,126,159,136,108,134,141,161,123,125,157,143,131,133,121,126,145,131,127,135,146,119,128,131,141,113,152,177,154,138,145,160,168,133,127,130,133,150,134,139,133,156,134,137,118,154,127,137,158,132,140,150,134,145,127,159,152,140,139,154,150,152,153,136,132,134,137,152,142,153,122,132,155,141,135,143,159,166,134,112,138,148,156,160,155,129,124,142,154,146,158,140,162,130,131,130,154,146,125,138,158,153,156,146,149,141,143,129,153,129,151,166,158,151,157,144,154,164,153,150,135,144,177,164,143,158,149,160,159,153,151,177,154,165,145,156,164,157,153,170,156,151,143,148,130,141,163,156,161,141,148,140,158,139,154,158,152,158
" ","0-4 years",0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,3,2,0,1,0,2,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,2,0,1,0,3,1,0,1,0,1,0,0,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,2,1,2,2,1,0,0,0,0,0,0,0,0,1,2,0,1,1,2,0,0,0,0,1,0,1,0,1,3,0,2,0,0,0,0,0,0,1,0,1,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,2,0,3,1,0,0,0,1,3,1,2,1,0,0,0,1,0,0,0,2,0,1,0,0,0,1,3,0,0,1,1,3,1,1,3,0,2,1,1,3,0,0,1,1,0,0,0,1,2,0,1,0,0,0,2,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,2,0,0,1,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,2,3,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,2,0,1,1,2,0,0,0,0,2,0,1,0,2,0,2,0,0,1,0,1,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,2,0,1,0
" ","5-9 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","10-14 years",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
" ","15-19 years",1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","20-24 years",0,2,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,1,0,1,2,1,1,0,1,0,1,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,1,0,1,0
" ","25-29 years",0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,3,0,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,3,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,2,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
" ","30-34 years",0,1,0,0,0,1,0,2,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,5,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,2,0,0,0,0,0,0,1,0,0,1,2,0,2,0,1,0,0,0,0,1,2,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,2,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0
" ","35-39 years",0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,2,2,0,1,1,0,0,1,1,0,1,1,1,2,0,1,0,1,1,3,0,0,1,1,2,0,1,1,1,0,1,0,1,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,3,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,1,2,2,0,0,2,1,2,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,2,1,1,0,2,1,2,0,0,0,2,1,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,2,1,0,1,0,0,1,1,0,0,2,0,1,3,0,1,0,1,2,0,0,2,1,0,1,0,2,2,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,2,2,1,2,0,2,1,0,2,0,2,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,2,0,0,0,1,1,1,0,0,1,2,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,2,1,1,1,0,0,2,0,1,0,0,2,0,1,1,0,0,0,1,0,0,2,1,0,2,1,0,0,0,1,0,2,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,4,0,0
