"Deaths per day (experimental statistics) by sex, age and time"

" "," ","2019M01D01","2019M01D02","2019M01D03","2019M01D04","2019M01D05","2019M01D06","2019M01D07","2019M01D08","2019M01D09","2019M01D10","2019M01D11","2019M01D12","2019M01D13","2019M01D14","2019M01D15","2019M01D16","2019M01D17","2019M01D18","2019M01D19","2019M01D20","2019M01D21","2019M01D22","2019M01D23","2019M01D24","2019M01D25","2019M01D26","2019M01D27","2019M01D28","2019M01D29","2019M01D30","2019M01D31","2019M02D01","2019M02D02","2019M02D03","2019M02D04","2019M02D05","2019M02D06","2019M02D07","2019M02D08","2019M02D09","2019M02D10","2019M02D11","2019M02D12","2019M02D13","2019M02D14","2019M02D15","2019M02D16","2019M02D17","2019M02D18","2019M02D19","2019M02D20","2019M02D21","2019M02D22","2019M02D23","2019M02D24","2019M02D25","2019M02D26","2019M02D27","2019M02D28","2019M03D01","2019M03D02","2019M03D03","2019M03D04","2019M03D05","2019M03D06","2019M03D07","2019M03D08","2019M03D09","2019M03D10","2019M03D11","2019M03D12","2019M03D13","2019M03D14","2019M03D15","2019M03D16","2019M03D17","2019M03D18","2019M03D19","2019M03D20","2019M03D21","2019M03D22","2019M03D23","2019M03D24","2019M03D25","2019M03D26","2019M03D27","2019M03D28","2019M03D29","2019M03D30","2019M03D31","2019M04D01","2019M04D02","2019M04D03","2019M04D04","2019M04D05","2019M04D06","2019M04D07","2019M04D08","2019M04D09","2019M04D10","2019M04D11","2019M04D12","2019M04D13","2019M04D14","2019M04D15","2019M04D16","2019M04D17","2019M04D18","2019M04D19","2019M04D20","2019M04D21","2019M04D22","2019M04D23","2019M04D24","2019M04D25","2019M04D26","2019M04D27","2019M04D28","2019M04D29","2019M04D30","2019M05D01","2019M05D02","2019M05D03","2019M05D04","2019M05D05","2019M05D06","2019M05D07","2019M05D08","2019M05D09","2019M05D10","2019M05D11","2019M05D12","2019M05D13","2019M05D14","2019M05D15","2019M05D16","2019M05D17","2019M05D18","2019M05D19","2019M05D20","2019M05D21","2019M05D22","2019M05D23","2019M05D24","2019M05D25","2019M05D26","2019M05D27","2019M05D28","2019M05D29","2019M05D30","2019M05D31","2019M06D01","2019M06D02","2019M06D03","2019M06D04","2019M06D05","2019M06D06","2019M06D07","2019M06D08","2019M06D09","2019M06D10","2019M06D11","2019M06D12","2019M06D13","2019M06D14","2019M06D15","2019M06D16","2019M06D17","2019M06D18","2019M06D19","2019M06D20","2019M06D21","2019M06D22","2019M06D23","2019M06D24","2019M06D25","2019M06D26","2019M06D27","2019M06D28","2019M06D29","2019M06D30","2019M07D01","2019M07D02","2019M07D03","2019M07D04","2019M07D05","2019M07D06","2019M07D07","2019M07D08","2019M07D09","2019M07D10","2019M07D11","2019M07D12","2019M07D13","2019M07D14","2019M07D15","2019M07D16","2019M07D17","2019M07D18","2019M07D19","2019M07D20","2019M07D21","2019M07D22","2019M07D23","2019M07D24","2019M07D25","2019M07D26","2019M07D27","2019M07D28","2019M07D29","2019M07D30","2019M07D31","2019M08D01","2019M08D02","2019M08D03","2019M08D04","2019M08D05","2019M08D06","2019M08D07","2019M08D08","2019M08D09","2019M08D10","2019M08D11","2019M08D12","2019M08D13","2019M08D14","2019M08D15","2019M08D16","2019M08D17","2019M08D18","2019M08D19","2019M08D20","2019M08D21","2019M08D22","2019M08D23","2019M08D24","2019M08D25","2019M08D26","2019M08D27","2019M08D28","2019M08D29","2019M08D30","2019M08D31","2019M09D01","2019M09D02","2019M09D03","2019M09D04","2019M09D05","2019M09D06","2019M09D07","2019M09D08","2019M09D09","2019M09D10","2019M09D11","2019M09D12","2019M09D13","2019M09D14","2019M09D15","2019M09D16","2019M09D17","2019M09D18","2019M09D19","2019M09D20","2019M09D21","2019M09D22","2019M09D23","2019M09D24","2019M09D25","2019M09D26","2019M09D27","2019M09D28","2019M09D29","2019M09D30","2019M10D01","2019M10D02","2019M10D03","2019M10D04","2019M10D05","2019M10D06","2019M10D07","2019M10D08","2019M10D09","2019M10D10","2019M10D11","2019M10D12","2019M10D13","2019M10D14","2019M10D15","2019M10D16","2019M10D17","2019M10D18","2019M10D19","2019M10D20","2019M10D21","2019M10D22","2019M10D23","2019M10D24","2019M10D25","2019M10D26","2019M10D27","2019M10D28","2019M10D29","2019M10D30","2019M10D31","2019M11D01","2019M11D02","2019M11D03","2019M11D04","2019M11D05","2019M11D06","2019M11D07","2019M11D08","2019M11D09","2019M11D10","2019M11D11","2019M11D12","2019M11D13","2019M11D14","2019M11D15","2019M11D16","2019M11D17","2019M11D18","2019M11D19","2019M11D20","2019M11D21","2019M11D22","2019M11D23","2019M11D24","2019M11D25","2019M11D26","2019M11D27","2019M11D28","2019M11D29","2019M11D30","2019M12D01","2019M12D02","2019M12D03","2019M12D04","2019M12D05","2019M12D06","2019M12D07","2019M12D08","2019M12D09","2019M12D10","2019M12D11","2019M12D12","2019M12D13","2019M12D14","2019M12D15","2019M12D16","2019M12D17","2019M12D18","2019M12D19","2019M12D20","2019M12D21","2019M12D22","2019M12D23","2019M12D24","2019M12D25","2019M12D26","2019M12D27","2019M12D28","2019M12D29","2019M12D30","2019M12D31"
" ","40-44 years",1,1,1,0,1,0,1,1,2,1,4,0,2,1,0,1,0,2,1,1,1,0,0,1,0,2,0,1,0,2,2,1,1,1,0,3,0,0,1,2,3,0,0,1,1,0,0,2,1,2,0,0,0,1,1,2,1,0,1,0,1,2,1,0,1,1,2,2,1,5,0,0,0,1,1,2,0,1,0,1,1,3,1,0,1,0,3,2,0,0,1,3,0,0,0,1,0,1,1,2,0,0,1,1,3,2,0,0,0,0,0,0,2,0,1,1,1,1,0,1,1,2,1,1,0,3,1,1,1,2,1,1,0,3,0,1,1,3,1,0,2,1,0,0,2,0,2,0,0,1,1,2,0,3,0,2,1,2,1,0,1,0,0,0,2,1,2,2,0,0,0,2,3,0,0,0,2,1,3,1,0,0,0,0,2,0,0,1,0,2,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,2,0,1,0,1,1,0,1,1,1,0,0,2,0,1,0,2,0,0,2,0,0,1,0,1,0,2,1,0,1,2,1,0,2,0,2,1,2,2,0,0,1,2,0,2,1,1,3,0,0,1,3,0,0,0,1,1,0,2,0,1,1,0,4,0,0,2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,3,0,1,0,0,0,1,0,1,0,2,0,2,1,2,0,1,0,0,1,1,0,1,0,2,0,0,0,4,0,0,1,0,1,0,1,1,2,0,3,1,1,1,1,1,0,1,1,2,1,2,0,3,0,2,0,3,0,0,1,0,0,1,2,3,4,1,1,0
" ","45-49 years",0,3,4,1,3,4,2,1,3,2,2,3,2,2,3,3,0,0,2,3,2,0,2,3,2,2,2,2,0,1,0,2,2,2,0,3,2,1,2,0,3,3,3,3,1,4,0,1,1,2,2,2,2,0,3,3,2,3,3,4,5,2,3,0,0,2,1,2,1,1,1,2,3,2,4,1,2,4,2,0,4,1,1,2,3,1,1,1,4,3,2,3,0,0,1,3,0,1,0,0,3,1,0,1,2,0,1,1,0,0,0,2,3,1,4,2,1,2,3,2,0,4,0,4,3,2,2,1,0,3,2,4,0,3,1,1,3,3,2,1,3,2,1,1,1,1,0,2,0,1,1,2,0,2,2,4,0,0,0,0,1,1,0,3,1,0,2,1,4,3,2,3,3,0,1,1,0,3,3,0,2,3,1,1,0,2,2,3,1,4,2,0,2,0,0,2,2,1,1,3,1,5,1,2,2,2,1,0,0,4,1,1,0,1,0,4,1,2,1,2,2,2,2,1,2,0,2,1,1,1,1,0,1,3,1,1,1,1,2,2,1,3,2,1,6,0,2,2,0,2,2,5,0,1,3,4,1,1,1,1,2,0,2,2,2,6,4,1,0,4,1,0,4,1,2,3,3,2,1,4,2,2,1,2,2,0,2,1,1,4,1,3,1,1,1,1,0,2,1,6,0,4,0,1,3,1,3,3,5,0,1,1,1,0,1,5,2,2,0,2,0,2,1,3,0,5,1,3,3,0,1,2,3,2,2,1,2,1,3,0,3,2,1,3,0,2,3,3,3,2,4,0,2,3,0,1,0,2,1,0,1,2,2,2,3
" ","50-54 years",3,2,3,4,3,2,4,5,3,4,4,4,4,3,1,4,5,4,6,3,1,4,5,5,10,6,0,2,4,5,9,2,2,5,2,1,3,4,4,6,6,2,2,7,6,3,3,3,2,3,0,5,3,4,6,4,4,7,5,3,3,2,2,4,2,8,2,5,3,3,6,4,2,6,3,3,3,1,1,8,3,2,0,6,7,2,2,5,3,6,3,5,1,1,7,5,3,1,6,4,3,2,3,5,5,6,0,4,6,3,4,4,3,2,2,4,0,5,1,3,5,1,1,4,3,3,3,3,3,1,3,2,3,3,5,4,5,1,3,2,6,6,3,1,4,2,5,10,3,3,2,4,4,3,5,3,4,0,2,2,3,8,0,2,4,3,1,3,4,4,2,3,4,5,4,5,5,2,2,3,3,3,3,2,2,5,4,1,2,2,2,1,3,3,0,3,3,3,3,3,2,5,2,2,4,6,6,4,5,1,3,1,2,2,4,5,2,6,4,2,2,3,2,4,8,3,2,6,2,6,2,1,2,5,2,3,2,2,6,6,1,4,0,4,2,3,3,4,3,3,5,5,4,4,3,2,2,5,2,3,2,0,3,2,4,10,4,8,3,3,5,0,4,4,4,2,5,5,4,2,2,1,1,1,10,3,3,4,2,7,7,3,0,4,4,1,1,6,3,2,0,4,2,4,5,2,1,4,5,2,3,3,1,1,1,2,6,5,5,7,2,5,3,2,5,3,3,0,5,5,3,3,5,3,5,1,2,1,5,3,4,2,2,2,5,2,2,3,1,2,3,4,1,4,2,4,4,2,1,3,4,2,1,2,3
" ","55-59 years",6,9,5,7,4,7,5,14,5,6,5,2,6,6,5,7,4,5,7,6,4,3,8,7,3,5,4,6,4,4,5,6,3,10,6,7,5,7,5,6,4,8,4,6,4,9,8,5,5,2,6,6,4,1,4,3,4,9,8,4,6,4,6,2,5,2,7,8,3,3,4,8,4,2,3,6,6,4,4,6,11,2,8,5,9,5,6,3,8,5,5,4,5,7,3,1,4,7,7,2,4,0,5,5,9,5,8,6,5,2,3,3,2,2,9,8,4,4,7,5,4,10,3,3,1,11,4,4,5,11,5,6,1,5,4,8,3,3,4,3,1,5,5,5,6,1,8,6,2,3,2,8,7,5,8,3,7,3,3,3,7,7,3,5,4,12,3,2,4,10,10,5,5,5,3,0,5,7,10,2,5,10,5,7,6,8,1,7,7,8,4,4,4,4,7,4,3,5,1,6,4,7,10,7,3,4,8,4,0,7,5,7,2,5,2,5,8,3,1,2,6,4,3,5,5,7,2,8,10,7,12,5,6,4,6,7,5,5,1,9,6,5,5,5,5,4,8,6,7,3,2,3,6,4,4,5,5,7,5,3,7,3,5,7,4,5,7,6,8,5,1,8,4,3,7,4,8,5,2,7,7,3,4,2,7,5,3,3,5,5,3,6,5,4,4,1,5,6,3,7,4,3,5,5,6,6,3,7,9,12,2,6,4,3,3,6,2,4,4,6,4,4,4,6,5,3,6,3,5,4,5,2,3,5,5,6,3,6,3,2,1,4,7,4,1,5,4,6,5,7,10,3,6,5,8,4,8,5,3,5,2,6,5,2,5
" ","60-64 years",9,17,7,9,11,6,11,12,6,5,5,15,9,10,11,5,8,3,5,11,11,5,10,9,13,11,10,13,7,6,6,12,16,8,19,8,15,6,9,6,18,10,8,10,13,10,14,10,9,7,7,8,9,8,8,11,8,10,7,4,7,7,9,9,11,3,13,9,11,11,8,7,4,11,6,5,8,11,8,4,9,8,6,10,16,5,5,6,6,7,5,3,5,7,16,8,10,11,4,8,11,6,9,8,10,7,8,5,10,7,10,13,11,3,6,6,13,8,4,7,9,8,8,4,2,5,9,10,13,8,5,10,7,4,8,7,7,8,8,8,8,4,7,9,11,5,9,10,6,4,6,7,5,7,11,7,8,10,5,6,9,9,4,7,4,4,7,6,11,9,14,6,5,7,10,7,9,14,5,10,7,8,6,10,7,11,8,5,5,5,7,10,5,9,4,12,7,5,8,3,5,6,6,11,7,8,8,6,9,12,6,2,7,10,5,10,9,6,10,9,6,12,6,9,7,8,5,7,6,2,9,11,6,4,12,5,6,10,10,6,5,6,4,7,10,8,5,7,6,8,4,7,12,8,5,11,7,8,12,7,11,9,11,6,7,8,12,7,7,10,10,5,6,11,5,8,4,7,7,12,7,8,5,9,11,7,8,6,12,10,7,9,2,9,11,7,6,8,8,10,13,8,8,5,8,3,12,12,16,10,9,7,6,9,12,8,12,18,8,5,10,8,9,8,10,10,10,6,9,5,8,9,8,10,10,3,8,5,10,12,8,11,8,10,8,10,12,9,6,7,8,3,8,5,3,10,7,11,5,8,6,10,12,8,6
" ","65-69 years",14,12,15,11,15,15,12,11,12,13,9,14,12,11,15,10,18,12,10,10,10,20,12,9,16,11,12,11,12,13,17,19,17,24,19,24,12,17,17,12,14,12,10,11,10,14,9,13,16,20,19,14,9,12,12,13,13,9,21,16,16,8,6,13,12,17,16,9,11,12,7,7,12,11,16,10,17,18,10,10,14,11,9,10,12,9,13,12,13,10,11,12,14,15,21,13,14,15,10,13,9,13,12,12,5,14,6,13,12,12,12,20,14,7,10,10,9,10,9,14,7,15,11,14,12,15,16,14,13,8,9,9,9,7,16,13,9,13,10,17,14,12,10,11,8,8,12,12,13,12,11,7,8,10,10,13,15,15,13,10,10,10,8,12,15,13,13,13,14,20,10,14,7,8,14,13,20,11,11,15,15,17,5,11,8,13,6,10,10,11,10,11,7,9,10,11,12,11,15,2,9,13,11,6,9,10,10,7,12,15,20,9,12,9,10,3,12,10,13,10,13,6,14,9,11,15,9,7,18,8,9,8,10,6,15,14,12,18,16,10,9,11,12,12,18,13,7,16,15,5,11,6,15,15,4,15,8,9,8,7,14,7,9,13,11,10,18,10,8,10,8,13,11,13,13,14,14,10,7,15,10,8,17,19,13,7,10,10,11,19,15,15,13,17,13,18,12,12,7,15,14,12,12,12,8,8,12,9,16,10,17,15,10,13,13,14,8,9,19,12,11,7,11,15,8,12,10,18,17,15,14,15,8,11,17,10,10,15,10,12,17,10,17,13,13,10,13,14,11,9,13,6,6,16,12,14,13,11,14,11,15,11,9,14,17
" ","70-74 years",15,31,19,22,21,24,25,25,19,20,20,21,21,22,15,14,22,12,16,20,23,20,15,19,20,22,22,25,26,17,19,19,23,20,19,20,26,19,23,21,18,15,14,23,20,17,16,22,29,20,19,17,25,22,20,16,21,17,22,14,14,20,24,18,22,22,24,11,20,14,15,22,20,20,15,16,15,16,12,16,14,28,14,18,14,17,16,18,19,11,16,16,21,20,15,17,14,14,21,17,25,13,20,16,20,17,19,20,13,22,11,15,24,13,21,9,12,19,15,32,19,20,21,7,17,20,19,13,16,21,15,21,19,22,19,24,18,24,12,12,15,23,17,17,10,21,12,16,19,19,19,11,17,20,11,20,21,25,13,15,29,14,12,19,18,8,21,15,23,17,22,10,21,19,25,27,7,18,19,18,20,14,14,10,21,13,17,15,16,17,18,16,13,15,18,15,18,19,25,23,20,19,17,12,24,22,15,11,19,19,17,11,17,23,20,15,18,23,21,19,22,19,15,26,9,15,20,10,13,19,13,12,15,16,20,17,11,16,19,27,15,20,27,17,17,13,19,13,16,13,18,9,18,16,25,16,23,14,21,14,12,10,17,14,20,16,16,20,18,9,15,14,12,17,21,16,14,16,20,15,20,21,13,16,22,19,14,20,22,16,13,13,13,16,17,20,24,14,16,18,10,19,18,17,18,16,17,19,12,17,19,17,21,14,14,20,11,11,15,16,16,20,14,24,24,18,20,20,15,30,19,18,13,22,22,19,16,19,23,19,20,14,18,21,18,21,19,10,18,16,16,19,13,19,23,15,14,14,14,17,19,20,19,19,20
" ","75-79 years",12,21,15,14,27,16,25,18,20,26,30,20,20,28,21,22,26,29,26,19,16,16,20,21,29,16,17,24,16,18,23,25,23,28,15,24,29,23,28,32,24,22,23,21,23,27,16,29,20,18,18,22,14,21,29,21,21,27,25,15,23,20,21,23,20,24,16,23,12,18,22,21,27,28,20,25,15,27,18,20,17,25,23,23,24,29,26,17,20,20,25,22,24,23,19,22,23,15,19,26,23,19,29,37,26,26,23,26,20,18,20,23,22,20,13,28,25,18,25,22,25,36,21,18,9,23,20,23,24,28,26,24,18,17,25,21,18,22,21,19,19,20,22,17,13,24,14,17,16,22,23,13,24,14,20,18,18,22,22,17,16,20,24,20,16,20,17,12,20,17,28,20,17,20,19,23,23,25,17,16,18,16,23,14,22,22,17,20,20,21,11,18,24,29,28,20,21,14,15,12,28,14,15,21,24,25,17,29,15,15,19,16,19,21,22,20,18,23,19,16,15,20,24,21,11,21,29,20,14,20,14,22,16,15,30,25,19,16,27,22,21,16,17,15,22,26,26,21,22,25,17,14,26,15,21,20,24,24,21,24,27,27,22,25,16,13,23,21,15,24,20,16,13,14,21,26,24,17,17,12,17,20,25,28,18,19,12,19,16,20,26,23,18,18,26,23,16,27,18,25,21,22,16,27,19,15,24,21,14,23,20,18,30,25,20,20,19,18,27,18,24,22,21,12,30,21,23,19,19,21,24,20,27,16,24,31,22,20,21,28,20,25,23,21,23,28,20,17,21,21,19,25,23,26,21,20,17,21,21,15,13,20,22,20,20
" ","80-84 years",32,23,28,27,33,24,24,23,32,26,20,20,26,22,24,32,31,27,34,20,27,20,25,17,30,27,25,30,28,31,24,32,18,18,24,30,24,29,26,25,24,25,25,22,22,34,34,30,39,27,24,20,36,19,23,18,26,21,32,18,17,28,26,23,28,30,14,26,24,27,25,24,25,29,25,17,28,23,24,20,23,24,19,13,26,23,28,30,15,15,22,36,24,23,24,32,23,20,24,21,22,24,18,27,22,17,23,29,22,22,30,27,17,20,20,18,28,26,25,20,26,23,22,22,22,11,28,26,23,22,27,18,29,17,22,12,19,15,23,26,25,20,31,24,24,27,17,28,21,19,32,19,20,31,26,20,31,16,23,23,26,24,23,26,21,26,22,18,21,27,20,19,26,19,11,21,29,18,16,19,22,30,21,22,18,14,32,26,27,28,18,25,20,25,17,25,17,20,20,29,18,17,24,32,30,27,12,15,16,33,18,19,28,23,27,20,20,27,17,27,23,20,20,23,20,21,16,27,13,15,20,30,18,34,26,18,28,22,26,26,19,16,18,19,24,22,18,20,22,28,18,23,17,15,21,23,17,24,28,25,21,22,26,31,26,22,27,20,27,26,21,22,17,28,23,20,18,12,23,25,28,17,19,23,32,30,19,22,21,21,25,21,21,13,23,24,23,28,18,22,20,16,18,33,22,22,11,30,21,32,22,24,13,21,24,24,24,29,30,28,32,29,25,14,30,29,30,25,26,30,26,27,25,28,31,30,34,32,32,24,30,27,20,22,23,25,34,32,33,24,24,23,19,29,22,26,32,24,29,29,21,18,21,17,20
" ","85-89 years",27,24,20,22,26,26,30,31,35,25,21,27,24,20,29,31,27,30,22,20,26,20,27,27,20,27,29,32,25,16,26,36,34,21,24,32,27,27,31,28,31,27,26,30,30,24,39,23,23,25,21,22,30,25,30,25,32,24,29,25,26,25,24,27,20,30,28,20,26,20,23,22,23,20,29,32,24,33,22,22,28,14,25,24,20,24,20,31,22,28,13,20,23,34,24,28,35,27,18,22,12,27,20,18,35,21,26,28,21,25,20,23,27,29,20,30,25,25,15,24,17,38,23,27,29,18,31,23,25,23,24,17,28,25,22,19,17,18,23,17,20,31,19,24,14,18,29,16,25,18,32,25,31,27,21,18,18,32,25,17,23,17,24,26,18,22,29,26,20,28,24,21,25,24,25,25,16,21,23,16,24,20,29,21,20,15,25,21,22,17,16,27,28,23,22,23,33,20,27,15,27,23,25,16,18,20,28,22,24,22,14,16,17,18,26,17,16,19,27,23,22,15,15,20,29,21,25,21,15,24,18,23,10,32,27,21,26,23,20,20,18,21,20,19,19,23,29,20,30,18,21,20,25,24,26,22,17,24,26,24,22,23,30,22,21,15,12,31,28,24,24,24,27,21,26,24,23,22,23,34,21,27,28,24,24,13,16,20,23,21,21,32,25,16,16,22,29,29,21,25,23,19,25,17,22,20,23,23,26,25,21,17,28,26,20,29,15,18,24,27,25,27,26,31,16,27,18,18,24,24,21,22,28,24,18,24,24,22,36,22,31,24,26,30,22,20,27,29,17,27,25,13,23,21,21,21,25,23,18,31,16,25,27,30,31
" ","90-94 years",19,18,19,25,21,24,19,21,30,19,23,17,18,28,20,20,19,27,16,18,15,22,25,20,21,17,17,18,18,25,27,25,20,21,25,14,40,21,22,21,22,23,19,18,29,22,27,23,21,16,11,26,22,18,16,27,18,20,17,21,22,19,13,12,10,23,25,14,19,15,11,18,19,25,24,29,19,13,25,12,20,23,19,18,18,8,22,18,26,14,22,18,22,16,24,26,20,12,22,20,21,15,12,13,21,14,19,20,20,23,22,19,17,22,17,13,28,15,26,20,19,27,17,24,14,18,12,19,14,19,21,7,20,19,17,16,17,18,15,16,14,19,17,18,12,25,16,24,16,20,14,24,21,14,21,19,17,18,21,12,15,13,17,17,19,21,16,17,21,15,22,13,10,18,12,19,18,24,14,15,10,16,16,17,16,14,14,15,19,30,7,20,14,22,16,10,21,18,15,17,16,11,19,21,13,22,20,19,15,13,16,14,14,15,28,9,14,19,16,10,11,10,18,18,20,12,18,22,14,14,17,19,16,20,21,23,16,21,20,21,17,16,16,21,17,11,16,20,21,17,25,18,16,16,19,23,14,13,12,15,13,13,18,24,16,14,15,20,19,23,20,15,26,19,21,20,28,11,16,15,17,10,19,22,15,18,19,27,23,15,20,18,17,16,17,22,19,9,28,29,15,17,14,23,23,17,18,19,17,15,22,21,15,25,10,15,17,21,16,18,14,19,22,27,19,16,21,11,12,28,28,15,22,18,11,21,20,21,17,17,18,20,16,26,31,18,20,21,20,21,15,25,29,22,25,28,12,23,17,22,20,22,21,23,17
" ","95-99 years",12,4,10,10,11,4,12,13,6,8,8,10,9,12,11,5,5,9,7,9,4,13,11,6,6,3,9,13,6,12,16,10,11,12,11,8,14,13,10,8,5,9,5,8,14,9,4,10,9,13,6,10,10,7,10,7,7,10,9,7,9,4,7,6,9,2,9,9,12,5,11,12,9,7,7,7,5,8,11,14,9,10,10,13,12,5,2,8,7,10,8,9,10,8,8,5,7,7,11,8,7,11,6,9,5,7,8,7,7,14,6,10,5,12,5,5,11,4,5,8,8,14,4,6,11,9,9,9,12,3,4,4,6,10,6,7,12,9,8,12,10,9,8,1,8,8,6,16,7,3,2,4,7,5,6,8,6,8,6,8,9,7,3,6,8,2,9,5,13,5,10,5,8,7,8,6,11,10,11,12,6,5,10,8,4,7,6,2,3,7,6,5,3,12,8,8,6,9,8,9,10,7,4,5,3,6,8,7,8,12,12,6,9,9,9,11,4,11,12,3,7,5,2,6,4,2,6,12,8,8,10,4,10,9,9,11,7,9,9,15,12,3,3,5,7,7,1,1,12,3,12,5,11,9,2,8,6,8,10,8,11,9,11,2,9,12,9,3,12,8,8,10,7,6,5,4,9,10,8,9,7,10,8,8,8,9,3,2,8,11,13,9,11,4,4,11,4,11,8,2,8,5,6,8,6,13,9,6,7,8,5,14,7,5,3,9,8,10,9,14,10,10,5,10,11,4,7,7,8,9,11,7,9,5,11,8,6,7,7,12,6,3,12,9,7,7,11,11,10,3,7,6,4,10,11,13,4,7,12,11,14,10,7,10,13
" ","100 years and over",0,0,3,1,4,5,2,2,1,0,4,1,2,2,1,1,1,1,1,3,1,3,1,2,2,2,3,1,2,1,3,3,2,2,1,4,0,3,0,4,0,2,1,1,3,5,0,1,3,3,1,0,1,1,3,0,1,4,2,2,1,1,1,0,2,1,1,1,1,2,7,1,1,2,1,0,2,3,1,2,1,2,4,1,2,2,1,1,2,2,1,0,0,1,2,1,3,2,1,1,3,2,2,3,2,2,1,1,2,2,0,1,1,1,2,0,2,0,3,2,5,1,4,0,3,0,1,2,1,2,2,2,1,0,1,2,2,0,1,1,3,0,0,2,4,0,0,1,2,1,1,2,1,2,0,1,3,2,2,1,1,4,4,3,2,2,0,4,1,1,1,5,3,1,2,3,4,1,3,1,0,2,2,0,1,1,2,1,1,0,3,0,0,2,3,2,3,2,1,4,3,2,0,1,2,0,1,2,1,1,1,2,0,0,1,2,0,1,1,2,0,1,2,1,2,1,0,1,1,3,3,1,0,2,2,1,1,0,1,0,3,1,3,1,1,2,1,0,0,3,0,0,0,0,1,4,2,0,2,2,2,0,2,1,2,4,3,2,1,6,1,1,1,0,2,0,1,2,1,2,1,3,1,1,2,0,0,2,0,2,2,1,0,0,3,0,4,3,2,0,0,0,0,2,2,0,2,1,1,0,2,2,0,0,2,0,2,2,2,2,0,1,2,0,0,2,1,0,0,1,1,2,4,2,0,2,2,1,4,1,1,2,2,0,4,1,1,1,1,1,2,2,3,2,1,2,5,3,0,3,2,1,6,1,1

"Data in this table is preliminary and can be changed continuously "
"with each new update of the table. The table is updated each Friday. "

