"Deaths per day (experimental statistics) by sex, age and time"

" "," ","2018M01D01","2018M01D02","2018M01D03","2018M01D04","2018M01D05","2018M01D06","2018M01D07","2018M01D08","2018M01D09","2018M01D10","2018M01D11","2018M01D12","2018M01D13","2018M01D14","2018M01D15","2018M01D16","2018M01D17","2018M01D18","2018M01D19","2018M01D20","2018M01D21","2018M01D22","2018M01D23","2018M01D24","2018M01D25","2018M01D26","2018M01D27","2018M01D28","2018M01D29","2018M01D30","2018M01D31","2018M02D01","2018M02D02","2018M02D03","2018M02D04","2018M02D05","2018M02D06","2018M02D07","2018M02D08","2018M02D09","2018M02D10","2018M02D11","2018M02D12","2018M02D13","2018M02D14","2018M02D15","2018M02D16","2018M02D17","2018M02D18","2018M02D19","2018M02D20","2018M02D21","2018M02D22","2018M02D23","2018M02D24","2018M02D25","2018M02D26","2018M02D27","2018M02D28","2018M03D01","2018M03D02","2018M03D03","2018M03D04","2018M03D05","2018M03D06","2018M03D07","2018M03D08","2018M03D09","2018M03D10","2018M03D11","2018M03D12","2018M03D13","2018M03D14","2018M03D15","2018M03D16","2018M03D17","2018M03D18","2018M03D19","2018M03D20","2018M03D21","2018M03D22","2018M03D23","2018M03D24","2018M03D25","2018M03D26","2018M03D27","2018M03D28","2018M03D29","2018M03D30","2018M03D31","2018M04D01","2018M04D02","2018M04D03","2018M04D04","2018M04D05","2018M04D06","2018M04D07","2018M04D08","2018M04D09","2018M04D10","2018M04D11","2018M04D12","2018M04D13","2018M04D14","2018M04D15","2018M04D16","2018M04D17","2018M04D18","2018M04D19","2018M04D20","2018M04D21","2018M04D22","2018M04D23","2018M04D24","2018M04D25","2018M04D26","2018M04D27","2018M04D28","2018M04D29","2018M04D30","2018M05D01","2018M05D02","2018M05D03","2018M05D04","2018M05D05","2018M05D06","2018M05D07","2018M05D08","2018M05D09","2018M05D10","2018M05D11","2018M05D12","2018M05D13","2018M05D14","2018M05D15","2018M05D16","2018M05D17","2018M05D18","2018M05D19","2018M05D20","2018M05D21","2018M05D22","2018M05D23","2018M05D24","2018M05D25","2018M05D26","2018M05D27","2018M05D28","2018M05D29","2018M05D30","2018M05D31","2018M06D01","2018M06D02","2018M06D03","2018M06D04","2018M06D05","2018M06D06","2018M06D07","2018M06D08","2018M06D09","2018M06D10","2018M06D11","2018M06D12","2018M06D13","2018M06D14","2018M06D15","2018M06D16","2018M06D17","2018M06D18","2018M06D19","2018M06D20","2018M06D21","2018M06D22","2018M06D23","2018M06D24","2018M06D25","2018M06D26","2018M06D27","2018M06D28","2018M06D29","2018M06D30","2018M07D01","2018M07D02","2018M07D03","2018M07D04","2018M07D05","2018M07D06","2018M07D07","2018M07D08","2018M07D09","2018M07D10","2018M07D11","2018M07D12","2018M07D13","2018M07D14","2018M07D15","2018M07D16","2018M07D17","2018M07D18","2018M07D19","2018M07D20","2018M07D21","2018M07D22","2018M07D23","2018M07D24","2018M07D25","2018M07D26","2018M07D27","2018M07D28","2018M07D29","2018M07D30","2018M07D31","2018M08D01","2018M08D02","2018M08D03","2018M08D04","2018M08D05","2018M08D06","2018M08D07","2018M08D08","2018M08D09","2018M08D10","2018M08D11","2018M08D12","2018M08D13","2018M08D14","2018M08D15","2018M08D16","2018M08D17","2018M08D18","2018M08D19","2018M08D20","2018M08D21","2018M08D22","2018M08D23","2018M08D24","2018M08D25","2018M08D26","2018M08D27","2018M08D28","2018M08D29","2018M08D30","2018M08D31","2018M09D01","2018M09D02","2018M09D03","2018M09D04","2018M09D05","2018M09D06","2018M09D07","2018M09D08","2018M09D09","2018M09D10","2018M09D11","2018M09D12","2018M09D13","2018M09D14","2018M09D15","2018M09D16","2018M09D17","2018M09D18","2018M09D19","2018M09D20","2018M09D21","2018M09D22","2018M09D23","2018M09D24","2018M09D25","2018M09D26","2018M09D27","2018M09D28","2018M09D29","2018M09D30","2018M10D01","2018M10D02","2018M10D03","2018M10D04","2018M10D05","2018M10D06","2018M10D07","2018M10D08","2018M10D09","2018M10D10","2018M10D11","2018M10D12","2018M10D13","2018M10D14","2018M10D15","2018M10D16","2018M10D17","2018M10D18","2018M10D19","2018M10D20","2018M10D21","2018M10D22","2018M10D23","2018M10D24","2018M10D25","2018M10D26","2018M10D27","2018M10D28","2018M10D29","2018M10D30","2018M10D31","2018M11D01","2018M11D02","2018M11D03","2018M11D04","2018M11D05","2018M11D06","2018M11D07","2018M11D08","2018M11D09","2018M11D10","2018M11D11","2018M11D12","2018M11D13","2018M11D14","2018M11D15","2018M11D16","2018M11D17","2018M11D18","2018M11D19","2018M11D20","2018M11D21","2018M11D22","2018M11D23","2018M11D24","2018M11D25","2018M11D26","2018M11D27","2018M11D28","2018M11D29","2018M11D30","2018M12D01","2018M12D02","2018M12D03","2018M12D04","2018M12D05","2018M12D06","2018M12D07","2018M12D08","2018M12D09","2018M12D10","2018M12D11","2018M12D12","2018M12D13","2018M12D14","2018M12D15","2018M12D16","2018M12D17","2018M12D18","2018M12D19","2018M12D20","2018M12D21","2018M12D22","2018M12D23","2018M12D24","2018M12D25","2018M12D26","2018M12D27","2018M12D28","2018M12D29","2018M12D30","2018M12D31"
"Total"
" ","Total",160,157,178,170,170,165,134,147,171,188,143,175,156,156,181,173,165,153,154,175,155,167,156,186,165,148,164,133,150,136,173,197,172,160,169,150,169,146,168,177,199,177,183,189,171,177,188,179,178,189,177,164,204,181,174,171,183,169,187,203,170,201,210,208,192,228,177,178,183,171,195,204,161,167,183,162,181,179,197,182,190,169,177,192,156,179,191,156,176,165,163,162,163,169,186,158,148,152,165,172,180,150,169,178,150,166,145,139,164,159,159,120,157,162,143,124,140,153,129,172,148,147,141,149,128,125,161,183,132,146,139,127,137,150,136,146,156,134,143,147,135,135,159,145,122,142,115,153,131,141,140,132,139,141,137,132,136,140,167,144,153,134,152,127,137,147,123,121,103,125,170,161,129,140,130,125,137,119,143,137,139,115,156,135,163,151,127,133,142,138,120,163,129,151,139,131,154,144,143,146,142,137,128,137,142,157,172,181,157,145,190,167,159,145,140,147,136,137,147,165,142,155,140,143,139,163,135,168,150,132,130,139,130,143,155,141,139,143,143,124,131,147,130,139,121,141,147,159,138,127,110,153,157,130,134,133,136,139,120,127,161,142,146,138,147,133,137,131,127,136,146,146,127,148,154,158,144,163,130,136,116,145,144,137,148,161,141,143,151,123,138,128,137,138,133,143,140,142,139,124,152,133,148,132,156,148,151,139,147,134,138,129,135,146,163,131,142,129,137,135,143,137,130,137,153,136,142,166,132,142,130,144,130,148,150,150,167,132,165,161,153,146,161,164,138,160,154,147,133,148,161,146,154,173,161,148,153,148,152,128,132,149,167,130,156
" ","0-4 years",2,0,0,0,1,0,1,1,1,0,0,1,0,3,0,0,0,1,2,0,0,2,0,3,3,1,2,0,0,0,1,1,2,2,3,0,1,0,1,0,1,0,1,0,1,2,0,1,0,0,3,0,2,1,2,2,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,2,2,0,1,2,2,0,1,2,0,2,0,1,0,1,0,0,0,1,1,2,1,1,0,3,3,1,1,0,0,0,1,2,0,1,2,0,2,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,2,0,0,1,1,0,1,3,1,0,0,1,0,1,2,0,1,0,2,0,0,1,1,3,2,0,1,1,0,1,1,0,1,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,2,0,1,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,2,1,3,1,0,1,1,0,0,0,1,0,2,2,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,2,0,2,3,0,0,1,0,2,0,0,0,1,0,2,2,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,2,2,1,1,0,1,2,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,2,2,0,2,2,0,1,1,0,0,0,1,0,1,3,0,0,0,0,0,2,0,0,0,1,0,3,1,1,0,0,0,1,0,0,3,1,0,0,0,1,0,1,1,0
" ","5-9 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","10-14 years",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","15-19 years",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
" ","20-24 years",1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,2,1,0,0,1,1,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
" ","25-29 years",2,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,2,0,0,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,1,0,0,0,1,0,0,0,0
" ","30-34 years",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,1,0,2,0,2,0,0,1,1,0,0,0,1,2,0,0,2,1,1,2,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,2,0,0,0,1,0,0,1,2,2,2,1,0,0,1,1,1,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,2,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,3,0,1,0,0,0,3,1,0,1,0,0,1,1,2,0,0,0,1,0,0,0,1,2,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,1,1,1,0,2,0,0,1,1,0,0,0,0,0,1,0,1,1,1
" ","35-39 years",1,0,0,1,2,1,0,0,1,0,0,1,0,0,0,2,1,0,0,2,1,0,1,0,1,0,0,2,0,0,0,0,0,1,1,0,1,1,2,0,0,2,1,1,1,0,0,0,1,2,0,1,1,1,0,1,1,0,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,2,1,1,0,0,0,0,0,1,0,0,1,0,3,0,1,1,1,0,1,2,0,0,2,0,1,0,2,2,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,3,0,0,0,1,0,0,2,1,0,1,2,2,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,2,1,1,4,0,1,3,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,2,2,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,2,0,0,2,1,0,4,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,2,0,1,1,0,1,1,0,0,0,1,0,0,2,1,0,2,1,0,0,0,2,1,0,0,0,1,0,2,3,3,0,0,1,0,0,1,0,1,1,1,3,1,0,2,0,1,0,0,1,1,2,2,0,1,1,2,0,0,0,0,2,1,1,0,1,0,1,2,1,1,0,0,2,0,0,0,1,0,1,1,2,1,1,0,1,0,0,0,1
