"Deaths per day (experimental statistics) by sex, age and time"

" "," ","2014M01D01","2014M01D02","2014M01D03","2014M01D04","2014M01D05","2014M01D06","2014M01D07","2014M01D08","2014M01D09","2014M01D10","2014M01D11","2014M01D12","2014M01D13","2014M01D14","2014M01D15","2014M01D16","2014M01D17","2014M01D18","2014M01D19","2014M01D20","2014M01D21","2014M01D22","2014M01D23","2014M01D24","2014M01D25","2014M01D26","2014M01D27","2014M01D28","2014M01D29","2014M01D30","2014M01D31","2014M02D01","2014M02D02","2014M02D03","2014M02D04","2014M02D05","2014M02D06","2014M02D07","2014M02D08","2014M02D09","2014M02D10","2014M02D11","2014M02D12","2014M02D13","2014M02D14","2014M02D15","2014M02D16","2014M02D17","2014M02D18","2014M02D19","2014M02D20","2014M02D21","2014M02D22","2014M02D23","2014M02D24","2014M02D25","2014M02D26","2014M02D27","2014M02D28","2014M03D01","2014M03D02","2014M03D03","2014M03D04","2014M03D05","2014M03D06","2014M03D07","2014M03D08","2014M03D09","2014M03D10","2014M03D11","2014M03D12","2014M03D13","2014M03D14","2014M03D15","2014M03D16","2014M03D17","2014M03D18","2014M03D19","2014M03D20","2014M03D21","2014M03D22","2014M03D23","2014M03D24","2014M03D25","2014M03D26","2014M03D27","2014M03D28","2014M03D29","2014M03D30","2014M03D31","2014M04D01","2014M04D02","2014M04D03","2014M04D04","2014M04D05","2014M04D06","2014M04D07","2014M04D08","2014M04D09","2014M04D10","2014M04D11","2014M04D12","2014M04D13","2014M04D14","2014M04D15","2014M04D16","2014M04D17","2014M04D18","2014M04D19","2014M04D20","2014M04D21","2014M04D22","2014M04D23","2014M04D24","2014M04D25","2014M04D26","2014M04D27","2014M04D28","2014M04D29","2014M04D30","2014M05D01","2014M05D02","2014M05D03","2014M05D04","2014M05D05","2014M05D06","2014M05D07","2014M05D08","2014M05D09","2014M05D10","2014M05D11","2014M05D12","2014M05D13","2014M05D14","2014M05D15","2014M05D16","2014M05D17","2014M05D18","2014M05D19","2014M05D20","2014M05D21","2014M05D22","2014M05D23","2014M05D24","2014M05D25","2014M05D26","2014M05D27","2014M05D28","2014M05D29","2014M05D30","2014M05D31","2014M06D01","2014M06D02","2014M06D03","2014M06D04","2014M06D05","2014M06D06","2014M06D07","2014M06D08","2014M06D09","2014M06D10","2014M06D11","2014M06D12","2014M06D13","2014M06D14","2014M06D15","2014M06D16","2014M06D17","2014M06D18","2014M06D19","2014M06D20","2014M06D21","2014M06D22","2014M06D23","2014M06D24","2014M06D25","2014M06D26","2014M06D27","2014M06D28","2014M06D29","2014M06D30","2014M07D01","2014M07D02","2014M07D03","2014M07D04","2014M07D05","2014M07D06","2014M07D07","2014M07D08","2014M07D09","2014M07D10","2014M07D11","2014M07D12","2014M07D13","2014M07D14","2014M07D15","2014M07D16","2014M07D17","2014M07D18","2014M07D19","2014M07D20","2014M07D21","2014M07D22","2014M07D23","2014M07D24","2014M07D25","2014M07D26","2014M07D27","2014M07D28","2014M07D29","2014M07D30","2014M07D31","2014M08D01","2014M08D02","2014M08D03","2014M08D04","2014M08D05","2014M08D06","2014M08D07","2014M08D08","2014M08D09","2014M08D10","2014M08D11","2014M08D12","2014M08D13","2014M08D14","2014M08D15","2014M08D16","2014M08D17","2014M08D18","2014M08D19","2014M08D20","2014M08D21","2014M08D22","2014M08D23","2014M08D24","2014M08D25","2014M08D26","2014M08D27","2014M08D28","2014M08D29","2014M08D30","2014M08D31","2014M09D01","2014M09D02","2014M09D03","2014M09D04","2014M09D05","2014M09D06","2014M09D07","2014M09D08","2014M09D09","2014M09D10","2014M09D11","2014M09D12","2014M09D13","2014M09D14","2014M09D15","2014M09D16","2014M09D17","2014M09D18","2014M09D19","2014M09D20","2014M09D21","2014M09D22","2014M09D23","2014M09D24","2014M09D25","2014M09D26","2014M09D27","2014M09D28","2014M09D29","2014M09D30","2014M10D01","2014M10D02","2014M10D03","2014M10D04","2014M10D05","2014M10D06","2014M10D07","2014M10D08","2014M10D09","2014M10D10","2014M10D11","2014M10D12","2014M10D13","2014M10D14","2014M10D15","2014M10D16","2014M10D17","2014M10D18","2014M10D19","2014M10D20","2014M10D21","2014M10D22","2014M10D23","2014M10D24","2014M10D25","2014M10D26","2014M10D27","2014M10D28","2014M10D29","2014M10D30","2014M10D31","2014M11D01","2014M11D02","2014M11D03","2014M11D04","2014M11D05","2014M11D06","2014M11D07","2014M11D08","2014M11D09","2014M11D10","2014M11D11","2014M11D12","2014M11D13","2014M11D14","2014M11D15","2014M11D16","2014M11D17","2014M11D18","2014M11D19","2014M11D20","2014M11D21","2014M11D22","2014M11D23","2014M11D24","2014M11D25","2014M11D26","2014M11D27","2014M11D28","2014M11D29","2014M11D30","2014M12D01","2014M12D02","2014M12D03","2014M12D04","2014M12D05","2014M12D06","2014M12D07","2014M12D08","2014M12D09","2014M12D10","2014M12D11","2014M12D12","2014M12D13","2014M12D14","2014M12D15","2014M12D16","2014M12D17","2014M12D18","2014M12D19","2014M12D20","2014M12D21","2014M12D22","2014M12D23","2014M12D24","2014M12D25","2014M12D26","2014M12D27","2014M12D28","2014M12D29","2014M12D30","2014M12D31"
"Total"
" ","Total",126,152,166,152,150,141,148,143,169,128,148,140,158,165,154,142,149,133,149,152,148,153,147,149,132,134,154,159,136,167,150,147,142,154,151,143,157,165,158,125,159,149,171,150,185,156,144,141,153,137,145,143,149,152,135,146,132,146,160,150,128,159,156,147,122,141,128,140,140,141,152,149,130,144,142,127,144,152,156,146,152,127,142,153,158,120,144,129,143,148,128,136,151,147,145,143,147,158,133,137,148,155,137,151,130,170,141,146,119,140,139,156,146,135,148,132,141,147,131,144,137,154,127,132,158,142,145,153,127,122,149,144,132,144,116,125,133,146,151,127,167,168,155,127,131,105,117,143,130,139,138,117,134,128,136,122,146,139,128,124,150,129,141,155,127,108,134,137,141,125,120,137,110,135,148,153,127,137,144,105,134,133,125,117,142,120,148,142,149,144,139,129,131,132,138,133,140,136,141,148,122,132,142,175,140,146,139,141,156,142,147,135,144,152,123,168,143,122,134,131,171,112,132,133,148,134,134,128,122,143,137,139,117,147,137,127,148,126,128,153,110,133,120,127,155,140,146,149,160,132,116,133,146,152,145,126,143,112,126,158,127,163,137,146,112,136,129,137,135,120,124,137,115,122,125,126,140,117,125,132,129,136,138,134,108,129,152,134,134,116,135,142,147,149,108,137,130,133,128,117,126,129,133,120,130,142,152,129,128,140,145,126,140,134,124,134,128,167,148,132,140,142,127,124,160,146,130,138,161,145,148,142,142,135,145,155,151,142,173,162,171,169,143,158,160,146,146,151,157,171,141,142,161,152,147,162,186,175,124,143,149,150,163,160,156
" ","0-4 years",0,1,1,0,0,1,1,2,2,0,1,1,2,0,0,0,1,0,1,0,0,2,1,0,0,1,0,1,0,1,1,0,0,1,1,0,2,0,0,0,1,0,2,1,3,4,2,0,1,2,1,3,1,1,0,1,1,2,0,1,1,0,0,1,2,0,0,1,1,3,2,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,2,1,0,0,0,3,1,0,2,1,0,2,1,1,0,0,3,0,0,2,2,1,0,0,2,0,0,1,0,0,0,0,0,1,1,1,1,0,2,2,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,3,3,0,0,0,0,0,1,0,0,1,2,0,0,0,1,2,0,0,2,1,2,0,1,0,0,0,0,0,1,0,2,1,2,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1,3,1,0,0,0,1,1,1,1,2,0,3,1,0,1,0,1,2,0,2,2,1,0,1,1,0,0,1,0,0,1,0,1,0,5,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,2,2,1,0,2,0,0,2,2,0,0,0,3,0,0,0,1,0,1,2,1,0,0,0,4,3,0,3,1,1,0,2,1,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,0,0,1,2,3,0
" ","5-9 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","10-14 years",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
" ","15-19 years",0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
" ","20-24 years",0,0,0,0,0,0,0,0,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,1,2,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,3,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,1
" ","25-29 years",1,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,2,2,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,2,2,0,1,0,0,0,1,0,0,2,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0
" ","30-34 years",0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,2,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,2,0,1,2,1,1,1,1,0,0,0,1,0,0,0,0,0,2,3,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,3,0,0,0,1,1,0,0,0,1,1,0,1,2,1,1,1,0,2,0,0,0,0,3,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,3,0,1,1,0,2,0,0,1,1,2,0,2,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0,1,1,0,0,2,0,1,2,0,0,0,1,0,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0
" ","35-39 years",1,0,0,1,0,1,0,1,1,0,1,1,3,1,0,1,1,0,0,2,1,1,1,1,1,1,0,1,0,2,0,0,1,0,0,2,0,0,1,0,1,0,1,1,1,0,0,0,2,0,0,2,1,2,0,2,0,1,1,0,1,2,0,1,0,1,0,1,0,0,5,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,2,0,1,1,1,2,0,0,0,0,0,3,0,3,0,2,1,0,0,0,2,0,1,1,2,1,1,0,1,0,3,0,2,1,1,0,0,0,3,1,0,0,0,2,1,1,1,0,1,2,1,1,0,0,2,1,1,0,2,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,2,1,1,0,1,0,0,2,0,0,1,2,0,0,0,1,0,2,0,0,0,1,3,1,1,0,0,0,1,2,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,0,2,2,0,3,2,2,3,0,0,0,1,1,1,1,1,0,0,1,0,3,1,1,0,0,0,1,2,1,1,0,0,2,0,0,0,2,0,0,1,1,0,1,1,2,1,0,3,0,0,1,0,0,0,2,0,0,0,1,0,0,1,1,0,2,0,1,1,1,1,0,2,0,1,2,0,0,2,1,1,2,0,0,0,0,2,4,1,1,1,0,1,0,0,1,1,0,2,1,0,0,1,0,1,2,1,1,1,1,1,1,1,0,2,0,0,1,0,0,1,0,0
