"Deaths per day (experimental statistics) by sex, age and time"

" "," ","2013M01D01","2013M01D02","2013M01D03","2013M01D04","2013M01D05","2013M01D06","2013M01D07","2013M01D08","2013M01D09","2013M01D10","2013M01D11","2013M01D12","2013M01D13","2013M01D14","2013M01D15","2013M01D16","2013M01D17","2013M01D18","2013M01D19","2013M01D20","2013M01D21","2013M01D22","2013M01D23","2013M01D24","2013M01D25","2013M01D26","2013M01D27","2013M01D28","2013M01D29","2013M01D30","2013M01D31","2013M02D01","2013M02D02","2013M02D03","2013M02D04","2013M02D05","2013M02D06","2013M02D07","2013M02D08","2013M02D09","2013M02D10","2013M02D11","2013M02D12","2013M02D13","2013M02D14","2013M02D15","2013M02D16","2013M02D17","2013M02D18","2013M02D19","2013M02D20","2013M02D21","2013M02D22","2013M02D23","2013M02D24","2013M02D25","2013M02D26","2013M02D27","2013M02D28","2013M03D01","2013M03D02","2013M03D03","2013M03D04","2013M03D05","2013M03D06","2013M03D07","2013M03D08","2013M03D09","2013M03D10","2013M03D11","2013M03D12","2013M03D13","2013M03D14","2013M03D15","2013M03D16","2013M03D17","2013M03D18","2013M03D19","2013M03D20","2013M03D21","2013M03D22","2013M03D23","2013M03D24","2013M03D25","2013M03D26","2013M03D27","2013M03D28","2013M03D29","2013M03D30","2013M03D31","2013M04D01","2013M04D02","2013M04D03","2013M04D04","2013M04D05","2013M04D06","2013M04D07","2013M04D08","2013M04D09","2013M04D10","2013M04D11","2013M04D12","2013M04D13","2013M04D14","2013M04D15","2013M04D16","2013M04D17","2013M04D18","2013M04D19","2013M04D20","2013M04D21","2013M04D22","2013M04D23","2013M04D24","2013M04D25","2013M04D26","2013M04D27","2013M04D28","2013M04D29","2013M04D30","2013M05D01","2013M05D02","2013M05D03","2013M05D04","2013M05D05","2013M05D06","2013M05D07","2013M05D08","2013M05D09","2013M05D10","2013M05D11","2013M05D12","2013M05D13","2013M05D14","2013M05D15","2013M05D16","2013M05D17","2013M05D18","2013M05D19","2013M05D20","2013M05D21","2013M05D22","2013M05D23","2013M05D24","2013M05D25","2013M05D26","2013M05D27","2013M05D28","2013M05D29","2013M05D30","2013M05D31","2013M06D01","2013M06D02","2013M06D03","2013M06D04","2013M06D05","2013M06D06","2013M06D07","2013M06D08","2013M06D09","2013M06D10","2013M06D11","2013M06D12","2013M06D13","2013M06D14","2013M06D15","2013M06D16","2013M06D17","2013M06D18","2013M06D19","2013M06D20","2013M06D21","2013M06D22","2013M06D23","2013M06D24","2013M06D25","2013M06D26","2013M06D27","2013M06D28","2013M06D29","2013M06D30","2013M07D01","2013M07D02","2013M07D03","2013M07D04","2013M07D05","2013M07D06","2013M07D07","2013M07D08","2013M07D09","2013M07D10","2013M07D11","2013M07D12","2013M07D13","2013M07D14","2013M07D15","2013M07D16","2013M07D17","2013M07D18","2013M07D19","2013M07D20","2013M07D21","2013M07D22","2013M07D23","2013M07D24","2013M07D25","2013M07D26","2013M07D27","2013M07D28","2013M07D29","2013M07D30","2013M07D31","2013M08D01","2013M08D02","2013M08D03","2013M08D04","2013M08D05","2013M08D06","2013M08D07","2013M08D08","2013M08D09","2013M08D10","2013M08D11","2013M08D12","2013M08D13","2013M08D14","2013M08D15","2013M08D16","2013M08D17","2013M08D18","2013M08D19","2013M08D20","2013M08D21","2013M08D22","2013M08D23","2013M08D24","2013M08D25","2013M08D26","2013M08D27","2013M08D28","2013M08D29","2013M08D30","2013M08D31","2013M09D01","2013M09D02","2013M09D03","2013M09D04","2013M09D05","2013M09D06","2013M09D07","2013M09D08","2013M09D09","2013M09D10","2013M09D11","2013M09D12","2013M09D13","2013M09D14","2013M09D15","2013M09D16","2013M09D17","2013M09D18","2013M09D19","2013M09D20","2013M09D21","2013M09D22","2013M09D23","2013M09D24","2013M09D25","2013M09D26","2013M09D27","2013M09D28","2013M09D29","2013M09D30","2013M10D01","2013M10D02","2013M10D03","2013M10D04","2013M10D05","2013M10D06","2013M10D07","2013M10D08","2013M10D09","2013M10D10","2013M10D11","2013M10D12","2013M10D13","2013M10D14","2013M10D15","2013M10D16","2013M10D17","2013M10D18","2013M10D19","2013M10D20","2013M10D21","2013M10D22","2013M10D23","2013M10D24","2013M10D25","2013M10D26","2013M10D27","2013M10D28","2013M10D29","2013M10D30","2013M10D31","2013M11D01","2013M11D02","2013M11D03","2013M11D04","2013M11D05","2013M11D06","2013M11D07","2013M11D08","2013M11D09","2013M11D10","2013M11D11","2013M11D12","2013M11D13","2013M11D14","2013M11D15","2013M11D16","2013M11D17","2013M11D18","2013M11D19","2013M11D20","2013M11D21","2013M11D22","2013M11D23","2013M11D24","2013M11D25","2013M11D26","2013M11D27","2013M11D28","2013M11D29","2013M11D30","2013M12D01","2013M12D02","2013M12D03","2013M12D04","2013M12D05","2013M12D06","2013M12D07","2013M12D08","2013M12D09","2013M12D10","2013M12D11","2013M12D12","2013M12D13","2013M12D14","2013M12D15","2013M12D16","2013M12D17","2013M12D18","2013M12D19","2013M12D20","2013M12D21","2013M12D22","2013M12D23","2013M12D24","2013M12D25","2013M12D26","2013M12D27","2013M12D28","2013M12D29","2013M12D30","2013M12D31"
"Total"
" ","Total",208,185,195,187,185,189,195,159,170,166,166,169,176,171,180,152,165,192,174,150,160,163,163,164,172,164,166,163,191,187,173,184,181,168,163,173,183,191,185,174,168,216,167,163,166,179,159,179,153,179,165,162,148,168,168,170,174,170,173,189,167,158,187,173,165,146,148,167,133,148,158,144,171,168,154,145,164,161,154,158,141,153,176,153,177,180,146,156,148,157,147,168,151,164,149,158,157,158,155,156,161,136,161,142,148,168,163,157,137,132,120,166,126,157,164,143,128,132,144,151,138,136,128,153,141,156,138,158,149,150,133,150,149,144,125,134,147,140,133,146,135,123,132,142,147,136,133,135,132,129,138,141,118,143,127,131,137,138,143,128,147,113,137,131,129,124,129,126,145,124,132,139,127,126,129,130,152,131,137,123,132,117,134,135,142,133,137,161,127,127,139,142,128,132,139,121,132,143,138,124,111,120,145,116,140,131,129,153,131,136,129,139,103,132,133,129,129,146,132,136,116,116,130,124,113,120,127,112,145,133,114,137,113,146,121,132,100,116,126,122,108,133,125,122,124,125,133,123,143,137,109,130,128,125,136,137,138,134,141,156,150,148,153,141,116,131,129,133,135,130,127,126,134,137,138,138,103,150,137,142,137,159,111,131,139,113,165,116,134,116,112,94,150,133,117,143,122,126,125,124,144,138,140,129,138,146,138,135,120,131,108,127,125,131,142,129,149,147,156,147,144,147,115,131,134,136,125,140,149,125,128,128,134,130,136,154,139,124,142,143,131,134,126,138,154,141,145,144,136,143,160,136,161,158,160,129,127,146,167,134,156,125,138,144,135
" ","0-4 years",0,0,3,1,0,0,0,0,1,1,0,1,0,0,2,2,0,0,0,0,0,3,0,0,0,1,0,0,0,1,1,1,0,3,1,0,0,1,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,1,1,1,1,0,1,0,4,0,1,0,2,0,4,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,2,1,1,1,0,0,1,0,0,2,3,2,1,0,0,1,2,0,1,4,0,2,1,2,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,1,1,2,1,1,3,1,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,2,1,2,0,0,1,1,0,0,0,4,2,0,1,0,1,1,1,0,2,0,1,0,0,2,0,1,0,0,1,2,0,0,2,0,1,0,0,0,2,1,0,2,0,2,0,1,1,0,0,2,0,1,1,3,2,0,0,1,0,2,2,2,0,0,1,0,0,0,1,2,1,2,0,1,1,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,1,2,2,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,2,0,1,2,1,2,0,0
" ","5-9 years",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
" ","10-14 years",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","15-19 years",1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
" ","20-24 years",0,1,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
" ","25-29 years",1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
" ","30-34 years",1,0,1,1,1,0,2,1,0,1,0,0,0,1,2,0,0,0,0,1,1,1,1,0,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,1,1,0,0,0,0,1,0,1,0,1,0,2,0,2,0,0,1,2,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,2
" ","35-39 years",1,1,1,1,2,2,0,1,0,1,1,1,0,1,1,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,1,2,0,0,1,2,0,0,0,0,1,1,0,0,0,2,0,0,1,0,1,2,3,0,3,0,1,0,1,3,0,0,0,2,1,2,2,2,1,2,1,2,0,2,1,1,0,1,1,1,0,1,3,3,2,0,1,1,0,0,1,1,1,1,3,2,0,1,1,1,0,1,1,0,0,3,0,0,3,1,2,1,1,0,2,0,2,1,1,1,3,0,1,0,1,0,3,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,2,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,2,0,1,1,1,0,1,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,2,2,1,0,0,0,1,1,1,1,0,2,1,0,2,0,0,2,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,2,1,2,0,0,2,1,1,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,1,2,0,1,0,0,1,2,1,1,1,1,0,0,0,2,0,1,3,3,0,0,0,0,1,1,1,0,0,2,1,0,2,1,1,2,0,0,1,0,3,2,0,1,1,2,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,2,0,0,0,1,1
