"Deaths per day (experimental statistics) by sex, age and time"

" "," ","2011M01D01","2011M01D02","2011M01D03","2011M01D04","2011M01D05","2011M01D06","2011M01D07","2011M01D08","2011M01D09","2011M01D10","2011M01D11","2011M01D12","2011M01D13","2011M01D14","2011M01D15","2011M01D16","2011M01D17","2011M01D18","2011M01D19","2011M01D20","2011M01D21","2011M01D22","2011M01D23","2011M01D24","2011M01D25","2011M01D26","2011M01D27","2011M01D28","2011M01D29","2011M01D30","2011M01D31","2011M02D01","2011M02D02","2011M02D03","2011M02D04","2011M02D05","2011M02D06","2011M02D07","2011M02D08","2011M02D09","2011M02D10","2011M02D11","2011M02D12","2011M02D13","2011M02D14","2011M02D15","2011M02D16","2011M02D17","2011M02D18","2011M02D19","2011M02D20","2011M02D21","2011M02D22","2011M02D23","2011M02D24","2011M02D25","2011M02D26","2011M02D27","2011M02D28","2011M03D01","2011M03D02","2011M03D03","2011M03D04","2011M03D05","2011M03D06","2011M03D07","2011M03D08","2011M03D09","2011M03D10","2011M03D11","2011M03D12","2011M03D13","2011M03D14","2011M03D15","2011M03D16","2011M03D17","2011M03D18","2011M03D19","2011M03D20","2011M03D21","2011M03D22","2011M03D23","2011M03D24","2011M03D25","2011M03D26","2011M03D27","2011M03D28","2011M03D29","2011M03D30","2011M03D31","2011M04D01","2011M04D02","2011M04D03","2011M04D04","2011M04D05","2011M04D06","2011M04D07","2011M04D08","2011M04D09","2011M04D10","2011M04D11","2011M04D12","2011M04D13","2011M04D14","2011M04D15","2011M04D16","2011M04D17","2011M04D18","2011M04D19","2011M04D20","2011M04D21","2011M04D22","2011M04D23","2011M04D24","2011M04D25","2011M04D26","2011M04D27","2011M04D28","2011M04D29","2011M04D30","2011M05D01","2011M05D02","2011M05D03","2011M05D04","2011M05D05","2011M05D06","2011M05D07","2011M05D08","2011M05D09","2011M05D10","2011M05D11","2011M05D12","2011M05D13","2011M05D14","2011M05D15","2011M05D16","2011M05D17","2011M05D18","2011M05D19","2011M05D20","2011M05D21","2011M05D22","2011M05D23","2011M05D24","2011M05D25","2011M05D26","2011M05D27","2011M05D28","2011M05D29","2011M05D30","2011M05D31","2011M06D01","2011M06D02","2011M06D03","2011M06D04","2011M06D05","2011M06D06","2011M06D07","2011M06D08","2011M06D09","2011M06D10","2011M06D11","2011M06D12","2011M06D13","2011M06D14","2011M06D15","2011M06D16","2011M06D17","2011M06D18","2011M06D19","2011M06D20","2011M06D21","2011M06D22","2011M06D23","2011M06D24","2011M06D25","2011M06D26","2011M06D27","2011M06D28","2011M06D29","2011M06D30","2011M07D01","2011M07D02","2011M07D03","2011M07D04","2011M07D05","2011M07D06","2011M07D07","2011M07D08","2011M07D09","2011M07D10","2011M07D11","2011M07D12","2011M07D13","2011M07D14","2011M07D15","2011M07D16","2011M07D17","2011M07D18","2011M07D19","2011M07D20","2011M07D21","2011M07D22","2011M07D23","2011M07D24","2011M07D25","2011M07D26","2011M07D27","2011M07D28","2011M07D29","2011M07D30","2011M07D31","2011M08D01","2011M08D02","2011M08D03","2011M08D04","2011M08D05","2011M08D06","2011M08D07","2011M08D08","2011M08D09","2011M08D10","2011M08D11","2011M08D12","2011M08D13","2011M08D14","2011M08D15","2011M08D16","2011M08D17","2011M08D18","2011M08D19","2011M08D20","2011M08D21","2011M08D22","2011M08D23","2011M08D24","2011M08D25","2011M08D26","2011M08D27","2011M08D28","2011M08D29","2011M08D30","2011M08D31","2011M09D01","2011M09D02","2011M09D03","2011M09D04","2011M09D05","2011M09D06","2011M09D07","2011M09D08","2011M09D09","2011M09D10","2011M09D11","2011M09D12","2011M09D13","2011M09D14","2011M09D15","2011M09D16","2011M09D17","2011M09D18","2011M09D19","2011M09D20","2011M09D21","2011M09D22","2011M09D23","2011M09D24","2011M09D25","2011M09D26","2011M09D27","2011M09D28","2011M09D29","2011M09D30","2011M10D01","2011M10D02","2011M10D03","2011M10D04","2011M10D05","2011M10D06","2011M10D07","2011M10D08","2011M10D09","2011M10D10","2011M10D11","2011M10D12","2011M10D13","2011M10D14","2011M10D15","2011M10D16","2011M10D17","2011M10D18","2011M10D19","2011M10D20","2011M10D21","2011M10D22","2011M10D23","2011M10D24","2011M10D25","2011M10D26","2011M10D27","2011M10D28","2011M10D29","2011M10D30","2011M10D31","2011M11D01","2011M11D02","2011M11D03","2011M11D04","2011M11D05","2011M11D06","2011M11D07","2011M11D08","2011M11D09","2011M11D10","2011M11D11","2011M11D12","2011M11D13","2011M11D14","2011M11D15","2011M11D16","2011M11D17","2011M11D18","2011M11D19","2011M11D20","2011M11D21","2011M11D22","2011M11D23","2011M11D24","2011M11D25","2011M11D26","2011M11D27","2011M11D28","2011M11D29","2011M11D30","2011M12D01","2011M12D02","2011M12D03","2011M12D04","2011M12D05","2011M12D06","2011M12D07","2011M12D08","2011M12D09","2011M12D10","2011M12D11","2011M12D12","2011M12D13","2011M12D14","2011M12D15","2011M12D16","2011M12D17","2011M12D18","2011M12D19","2011M12D20","2011M12D21","2011M12D22","2011M12D23","2011M12D24","2011M12D25","2011M12D26","2011M12D27","2011M12D28","2011M12D29","2011M12D30","2011M12D31"
"Total"
" ","Total",158,149,178,190,194,183,193,159,147,184,169,140,142,174,137,153,154,162,155,167,151,163,141,159,139,145,172,161,156,154,167,165,156,146,155,158,120,160,153,147,146,141,172,136,170,159,164,159,144,166,162,140,149,148,152,152,158,136,170,164,168,146,177,148,144,159,161,177,161,142,138,151,158,158,155,164,152,144,156,140,163,131,139,168,134,131,152,149,147,153,166,150,154,163,130,147,140,147,140,146,123,161,129,123,129,150,123,135,141,132,151,129,134,134,143,153,171,125,125,145,149,162,144,151,139,130,143,159,165,146,130,138,145,154,129,145,150,125,131,121,137,142,155,142,131,145,138,147,125,127,151,125,118,145,113,135,141,128,131,133,163,154,136,142,141,144,126,127,167,117,134,131,135,162,114,118,132,149,138,149,132,145,145,136,143,122,118,146,132,142,142,127,140,154,144,163,137,133,121,130,142,125,134,134,120,160,126,129,120,145,147,145,153,120,138,125,126,119,131,138,131,126,131,124,137,117,122,142,136,117,130,130,129,139,141,144,124,140,115,118,132,115,153,131,127,126,151,140,120,116,130,132,135,156,129,136,142,124,144,136,122,159,128,142,145,145,136,152,142,131,117,149,152,130,141,150,131,134,132,116,140,115,121,134,130,133,155,144,125,120,140,130,149,155,155,122,128,141,150,152,124,136,152,159,159,143,149,151,150,118,142,145,152,138,138,111,141,134,120,140,132,149,148,127,124,144,132,153,142,167,140,158,164,155,163,161,149,145,153,176,143,165,154,154,150,160,140,171,165,150,152,161,169,141,172,168,155,159,161,162,166,149,152,188,142
" ","0-4 years",0,0,2,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,0,1,0,1,1,0,2,1,1,0,1,2,1,2,0,2,0,1,1,1,3,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,1,2,1,0,0,2,1,0,0,0,3,1,1,0,1,2,0,2,1,0,1,0,0,1,1,0,1,2,1,1,0,0,1,0,1,0,1,2,1,0,1,0,1,0,1,0,0,0,1,0,2,0,0,2,0,0,1,1,0,1,0,2,0,0,0,0,0,1,0,0,1,1,1,1,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,2,0,2,1,0,0,0,1,1,2,0,0,1,0,1,1,3,2,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,2,1,0,0,0,0,1,1,3,0,0,0,1,2,0,0,0,2,1,1,4,1,2,2,1,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,1,1,0,0,0,0,2,0,0,0,0,0,1,1,0,2,0,2,1,1,0,0,0,1,0,0,2,1,1,2,0,1,1,1,0,1,0,1,2,0,0,2,0,0,0,0,0,3,1,0,1,0,1,1,1,0,1,0,0,1,0,0,2,0,0,0,1,0,0,1,1,1,1,0,2,0,1,0,2,2,0,1,1,2,2,0,0,1,0,0,0,2,1,1,1,1,3,0,0,1,0,1,2,1,1,2,0
" ","5-9 years",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
" ","10-14 years",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","15-19 years",0,1,1,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,0,0,0,1,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
" ","20-24 years",0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,3,1,0,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,2,0,0,1,2,1,1,0,0,0,1,0,1,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1
" ","25-29 years",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,1,2,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,1,0,2,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0
" ","30-34 years",0,1,3,0,0,0,2,1,0,3,0,0,0,2,0,0,2,1,0,1,1,0,0,0,0,2,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,2,1,0,0,1,1,0,1,1,1,0,0,0,4,0,1,0,0,0,1,0,2,0,0,2,0,1,0,2,2,3,1,0,1,0,1,0,0,1,1,1,0,0,0,1,2,1,1,0,1,2,2,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,2,1,1,0,1,0,0,0,0,1,0,2,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,2,2,1,0,0,1,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,0,0,1,1,0,1,0,0,0,1,0,2,0,1,1,1,0,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,1,0,1,1,0,1,0,0,0,1,0,1,0,2,0,1,1,0,0,0,1,1,0,3,1,0,0,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
" ","35-39 years",2,2,1,1,2,0,2,0,0,0,1,0,1,1,0,0,1,0,2,0,0,0,2,1,1,1,2,1,1,0,0,1,0,1,1,2,1,1,1,0,0,1,2,0,1,0,1,0,1,0,2,0,1,0,0,1,4,0,1,0,2,2,3,2,1,1,0,2,1,1,2,2,0,1,0,1,1,0,2,2,0,1,1,1,0,1,1,0,1,1,1,0,2,2,2,2,1,3,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,3,1,1,1,1,0,1,0,0,1,1,3,1,2,2,1,0,1,0,0,1,0,0,1,1,0,1,1,1,3,0,0,2,1,0,0,0,1,2,1,0,0,0,0,2,1,0,3,0,1,0,1,2,0,0,0,1,0,0,1,1,2,1,1,0,0,1,1,1,0,0,1,2,1,2,0,2,1,0,0,2,0,0,2,0,0,0,1,0,2,1,1,1,1,1,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,2,0,2,0,2,1,1,1,0,1,0,0,1,2,0,3,2,1,1,1,0,0,0,1,1,0,0,3,1,0,0,0,0,1,0,1,1,1,0,0,2,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,2,0,0,1,0,1,0,4,1,0,1,0,1,0,3,1,0,5,2,1,5,1,1,0,0,2,0,1,0,2,0,1,0,2,2,0,1,0,1,1,0,0,1,0,0,2,0,1,0,1,2,1,0,1,2,1,1,0,0,1,1,1,0,0,1,0,2,1,2,0,3,0,1,1,2,0,0,1,1,0,1
