"Deaths per day (experimental statistics) by sex, age and time"

" "," ","2010M01D01","2010M01D02","2010M01D03","2010M01D04","2010M01D05","2010M01D06","2010M01D07","2010M01D08","2010M01D09","2010M01D10","2010M01D11","2010M01D12","2010M01D13","2010M01D14","2010M01D15","2010M01D16","2010M01D17","2010M01D18","2010M01D19","2010M01D20","2010M01D21","2010M01D22","2010M01D23","2010M01D24","2010M01D25","2010M01D26","2010M01D27","2010M01D28","2010M01D29","2010M01D30","2010M01D31","2010M02D01","2010M02D02","2010M02D03","2010M02D04","2010M02D05","2010M02D06","2010M02D07","2010M02D08","2010M02D09","2010M02D10","2010M02D11","2010M02D12","2010M02D13","2010M02D14","2010M02D15","2010M02D16","2010M02D17","2010M02D18","2010M02D19","2010M02D20","2010M02D21","2010M02D22","2010M02D23","2010M02D24","2010M02D25","2010M02D26","2010M02D27","2010M02D28","2010M03D01","2010M03D02","2010M03D03","2010M03D04","2010M03D05","2010M03D06","2010M03D07","2010M03D08","2010M03D09","2010M03D10","2010M03D11","2010M03D12","2010M03D13","2010M03D14","2010M03D15","2010M03D16","2010M03D17","2010M03D18","2010M03D19","2010M03D20","2010M03D21","2010M03D22","2010M03D23","2010M03D24","2010M03D25","2010M03D26","2010M03D27","2010M03D28","2010M03D29","2010M03D30","2010M03D31","2010M04D01","2010M04D02","2010M04D03","2010M04D04","2010M04D05","2010M04D06","2010M04D07","2010M04D08","2010M04D09","2010M04D10","2010M04D11","2010M04D12","2010M04D13","2010M04D14","2010M04D15","2010M04D16","2010M04D17","2010M04D18","2010M04D19","2010M04D20","2010M04D21","2010M04D22","2010M04D23","2010M04D24","2010M04D25","2010M04D26","2010M04D27","2010M04D28","2010M04D29","2010M04D30","2010M05D01","2010M05D02","2010M05D03","2010M05D04","2010M05D05","2010M05D06","2010M05D07","2010M05D08","2010M05D09","2010M05D10","2010M05D11","2010M05D12","2010M05D13","2010M05D14","2010M05D15","2010M05D16","2010M05D17","2010M05D18","2010M05D19","2010M05D20","2010M05D21","2010M05D22","2010M05D23","2010M05D24","2010M05D25","2010M05D26","2010M05D27","2010M05D28","2010M05D29","2010M05D30","2010M05D31","2010M06D01","2010M06D02","2010M06D03","2010M06D04","2010M06D05","2010M06D06","2010M06D07","2010M06D08","2010M06D09","2010M06D10","2010M06D11","2010M06D12","2010M06D13","2010M06D14","2010M06D15","2010M06D16","2010M06D17","2010M06D18","2010M06D19","2010M06D20","2010M06D21","2010M06D22","2010M06D23","2010M06D24","2010M06D25","2010M06D26","2010M06D27","2010M06D28","2010M06D29","2010M06D30","2010M07D01","2010M07D02","2010M07D03","2010M07D04","2010M07D05","2010M07D06","2010M07D07","2010M07D08","2010M07D09","2010M07D10","2010M07D11","2010M07D12","2010M07D13","2010M07D14","2010M07D15","2010M07D16","2010M07D17","2010M07D18","2010M07D19","2010M07D20","2010M07D21","2010M07D22","2010M07D23","2010M07D24","2010M07D25","2010M07D26","2010M07D27","2010M07D28","2010M07D29","2010M07D30","2010M07D31","2010M08D01","2010M08D02","2010M08D03","2010M08D04","2010M08D05","2010M08D06","2010M08D07","2010M08D08","2010M08D09","2010M08D10","2010M08D11","2010M08D12","2010M08D13","2010M08D14","2010M08D15","2010M08D16","2010M08D17","2010M08D18","2010M08D19","2010M08D20","2010M08D21","2010M08D22","2010M08D23","2010M08D24","2010M08D25","2010M08D26","2010M08D27","2010M08D28","2010M08D29","2010M08D30","2010M08D31","2010M09D01","2010M09D02","2010M09D03","2010M09D04","2010M09D05","2010M09D06","2010M09D07","2010M09D08","2010M09D09","2010M09D10","2010M09D11","2010M09D12","2010M09D13","2010M09D14","2010M09D15","2010M09D16","2010M09D17","2010M09D18","2010M09D19","2010M09D20","2010M09D21","2010M09D22","2010M09D23","2010M09D24","2010M09D25","2010M09D26","2010M09D27","2010M09D28","2010M09D29","2010M09D30","2010M10D01","2010M10D02","2010M10D03","2010M10D04","2010M10D05","2010M10D06","2010M10D07","2010M10D08","2010M10D09","2010M10D10","2010M10D11","2010M10D12","2010M10D13","2010M10D14","2010M10D15","2010M10D16","2010M10D17","2010M10D18","2010M10D19","2010M10D20","2010M10D21","2010M10D22","2010M10D23","2010M10D24","2010M10D25","2010M10D26","2010M10D27","2010M10D28","2010M10D29","2010M10D30","2010M10D31","2010M11D01","2010M11D02","2010M11D03","2010M11D04","2010M11D05","2010M11D06","2010M11D07","2010M11D08","2010M11D09","2010M11D10","2010M11D11","2010M11D12","2010M11D13","2010M11D14","2010M11D15","2010M11D16","2010M11D17","2010M11D18","2010M11D19","2010M11D20","2010M11D21","2010M11D22","2010M11D23","2010M11D24","2010M11D25","2010M11D26","2010M11D27","2010M11D28","2010M11D29","2010M11D30","2010M12D01","2010M12D02","2010M12D03","2010M12D04","2010M12D05","2010M12D06","2010M12D07","2010M12D08","2010M12D09","2010M12D10","2010M12D11","2010M12D12","2010M12D13","2010M12D14","2010M12D15","2010M12D16","2010M12D17","2010M12D18","2010M12D19","2010M12D20","2010M12D21","2010M12D22","2010M12D23","2010M12D24","2010M12D25","2010M12D26","2010M12D27","2010M12D28","2010M12D29","2010M12D30","2010M12D31"
"Total"
" ","Total",157,160,152,165,174,189,163,145,154,169,162,187,167,165,143,154,149,157,158,156,161,162,163,163,128,157,183,151,141,147,151,167,171,157,149,163,137,158,164,137,188,167,139,166,167,175,147,162,151,178,161,161,158,174,169,167,162,162,185,179,180,166,143,187,167,160,160,167,162,154,178,151,156,151,135,137,167,187,139,151,185,157,156,157,148,155,137,169,156,144,147,169,132,139,153,157,144,156,173,148,159,170,136,171,164,159,142,149,151,143,177,169,144,136,156,159,156,147,150,151,138,121,165,143,136,150,155,156,134,165,148,139,126,147,150,130,161,134,158,175,158,151,142,139,123,139,139,136,133,151,141,130,128,126,145,134,117,140,132,133,143,130,132,140,136,134,145,126,159,142,130,145,129,139,152,141,136,153,158,147,173,142,150,168,155,130,139,113,150,140,134,149,159,144,130,131,149,131,147,144,152,146,137,158,119,124,140,142,143,148,136,141,127,139,141,126,128,142,156,146,168,164,141,116,149,119,137,140,122,119,128,146,137,148,149,144,140,133,147,142,143,138,128,153,128,132,131,139,139,129,157,141,155,127,145,151,153,134,127,142,150,137,175,133,141,165,145,144,136,136,140,135,135,142,115,134,138,157,130,149,123,133,135,147,120,145,167,128,153,141,164,162,153,155,145,142,137,119,161,155,148,148,111,148,149,156,146,144,156,117,151,144,135,169,137,146,149,141,140,140,132,127,123,159,126,153,157,139,150,143,118,172,140,152,154,145,160,167,188,164,151,137,162,171,158,166,164,158,165,166,156,171,141,156,192,192,168,152,149,151,172,184,159,154,149
" ","0-4 years",1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,2,0,1,1,0,0,1,1,1,2,0,1,0,1,2,1,0,0,1,1,1,0,0,2,1,0,0,0,2,0,3,1,3,0,1,4,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,2,1,0,1,2,0,1,0,0,2,2,2,0,1,0,0,3,0,1,0,0,4,1,1,0,1,0,1,0,2,2,1,2,0,0,0,3,0,1,1,0,3,1,1,0,0,0,0,0,0,1,1,1,2,1,1,0,2,2,0,1,2,0,1,1,0,2,1,0,2,1,1,1,0,0,0,1,1,0,2,0,0,1,2,1,0,0,0,0,1,1,1,0,1,3,0,2,1,1,2,1,0,0,1,0,0,1,1,2,1,1,1,0,0,1,0,0,0,2,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,2,0,0,0,0,1,0,3,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,3,3,2,1,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,3,0,1,0,0,0,0,2,1,1,0,0,0,1,0,0,3,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,1,0,2,0,0,1,0,4,0,0,0,1,1,1,0,0,1,0,0,0,0,2,1,2,2,0,0,0,1,0,0,0,0,2,1,1,1,1,1,0
" ","5-9 years",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","10-14 years",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
" ","15-19 years",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,3,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
" ","20-24 years",1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,3,0,0,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,2,1,0,0,0,2,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,2,2,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,2,1,1,0,0,1,1,2,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
" ","25-29 years",0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,2,0,0,1,2,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,1,1,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,3,1,1,0,1,1,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0,1
" ","30-34 years",0,2,0,0,1,5,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,2,1,0,1,0,1,1,1,0,1,1,1,0,0,0,2,0,0,0,1,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,1,0,1,2,0,0,1,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,2,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,1,0,0,1,0,0,0,3,0,1,1,0,2,1,1,0,1,0,0,0,0,1,0,2,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,2,1,0,0,1,1,3,0,0,1,0,0,0,2,1,1,0,0,1,0,0,2,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,2,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,2,1,0
" ","35-39 years",1,1,0,0,0,2,2,1,0,0,1,1,0,0,1,0,3,0,2,2,0,2,0,0,0,1,1,0,1,3,1,0,1,1,0,1,1,0,1,1,2,0,0,1,1,1,1,1,3,0,3,0,0,3,2,0,0,3,2,1,1,0,1,0,1,0,1,0,1,1,2,1,1,0,1,1,0,1,2,1,0,0,0,0,1,0,3,3,0,1,1,2,0,3,0,2,0,0,0,1,0,2,1,3,1,0,1,1,2,0,0,1,2,1,0,2,0,5,0,0,0,0,1,2,0,0,1,2,0,0,0,1,0,1,1,2,3,0,2,1,0,1,1,1,1,2,1,2,2,0,2,1,2,0,0,0,0,0,1,0,2,0,2,1,2,2,2,3,1,2,1,2,2,1,3,0,0,1,2,1,2,2,1,1,1,1,1,0,2,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,2,1,0,1,1,0,1,3,0,1,1,0,0,0,2,2,0,0,1,0,0,1,1,1,0,1,0,0,1,2,0,1,0,1,0,0,1,1,2,2,2,0,0,3,2,1,1,1,0,1,0,1,2,1,2,0,1,0,0,0,0,1,0,0,2,0,3,2,0,2,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,1,2,2,0,1,0,0,0,1,3,2,0,0,1,1,1,1,2,1,0,1,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,3,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,2,1,0,0,1
