"Deaths per day (experimental statistics) by sex, age and time"

" "," ","2020M01D01","2020M01D02","2020M01D03","2020M01D04","2020M01D05","2020M01D06","2020M01D07","2020M01D08","2020M01D09","2020M01D10","2020M01D11","2020M01D12","2020M01D13","2020M01D14","2020M01D15","2020M01D16","2020M01D17","2020M01D18","2020M01D19","2020M01D20","2020M01D21","2020M01D22","2020M01D23","2020M01D24","2020M01D25","2020M01D26","2020M01D27","2020M01D28","2020M01D29","2020M01D30","2020M01D31","2020M02D01","2020M02D02","2020M02D03","2020M02D04","2020M02D05","2020M02D06","2020M02D07","2020M02D08","2020M02D09","2020M02D10","2020M02D11","2020M02D12","2020M02D13","2020M02D14","2020M02D15","2020M02D16","2020M02D17","2020M02D18","2020M02D19","2020M02D20","2020M02D21","2020M02D22","2020M02D23","2020M02D24","2020M02D25","2020M02D26","2020M02D27","2020M02D28","2020M02D29","2020M03D01","2020M03D02","2020M03D03","2020M03D04","2020M03D05","2020M03D06","2020M03D07","2020M03D08","2020M03D09","2020M03D10","2020M03D11","2020M03D12","2020M03D13","2020M03D14","2020M03D15","2020M03D16","2020M03D17","2020M03D18","2020M03D19","2020M03D20","2020M03D21","2020M03D22","2020M03D23","2020M03D24","2020M03D25","2020M03D26","2020M03D27","2020M03D28","2020M03D29","2020M03D30","2020M03D31","2020M04D01","2020M04D02","2020M04D03","2020M04D04","2020M04D05","2020M04D06","2020M04D07","2020M04D08","2020M04D09","2020M04D10","2020M04D11","2020M04D12","2020M04D13","2020M04D14","2020M04D15","2020M04D16","2020M04D17","2020M04D18","2020M04D19","2020M04D20","2020M04D21","2020M04D22","2020M04D23","2020M04D24","2020M04D25","2020M04D26","2020M04D27","2020M04D28","2020M04D29","2020M04D30","2020M05D01","2020M05D02","2020M05D03","2020M05D04","2020M05D05","2020M05D06","2020M05D07","2020M05D08","2020M05D09","2020M05D10","2020M05D11","2020M05D12","2020M05D13","2020M05D14","2020M05D15","2020M05D16","2020M05D17","2020M05D18","2020M05D19","2020M05D20","2020M05D21","2020M05D22","2020M05D23","2020M05D24","2020M05D25","2020M05D26","2020M05D27","2020M05D28","2020M05D29","2020M05D30","2020M05D31","2020M06D01","2020M06D02","2020M06D03","2020M06D04","2020M06D05","2020M06D06","2020M06D07","2020M06D08","2020M06D09","2020M06D10","2020M06D11","2020M06D12","2020M06D13","2020M06D14","2020M06D15","2020M06D16","2020M06D17","2020M06D18","2020M06D19","2020M06D20","2020M06D21","2020M06D22","2020M06D23","2020M06D24","2020M06D25","2020M06D26","2020M06D27","2020M06D28","2020M06D29","2020M06D30","2020M07D01","2020M07D02","2020M07D03","2020M07D04","2020M07D05","2020M07D06","2020M07D07","2020M07D08","2020M07D09","2020M07D10","2020M07D11","2020M07D12","2020M07D13","2020M07D14","2020M07D15","2020M07D16","2020M07D17","2020M07D18","2020M07D19","2020M07D20","2020M07D21","2020M07D22","2020M07D23","2020M07D24","2020M07D25","2020M07D26","2020M07D27","2020M07D28","2020M07D29","2020M07D30","2020M07D31","2020M08D01","2020M08D02","2020M08D03","2020M08D04","2020M08D05","2020M08D06","2020M08D07","2020M08D08","2020M08D09","2020M08D10","2020M08D11","2020M08D12","2020M08D13","2020M08D14","2020M08D15","2020M08D16","2020M08D17","2020M08D18","2020M08D19","2020M08D20","2020M08D21","2020M08D22","2020M08D23","2020M08D24","2020M08D25","2020M08D26","2020M08D27","2020M08D28","2020M08D29","2020M08D30","2020M08D31","2020M09D01","2020M09D02","2020M09D03","2020M09D04","2020M09D05","2020M09D06","2020M09D07","2020M09D08","2020M09D09","2020M09D10","2020M09D11","2020M09D12","2020M09D13","2020M09D14","2020M09D15","2020M09D16","2020M09D17","2020M09D18","2020M09D19","2020M09D20","2020M09D21","2020M09D22","2020M09D23","2020M09D24","2020M09D25","2020M09D26","2020M09D27","2020M09D28","2020M09D29","2020M09D30","2020M10D01","2020M10D02","2020M10D03","2020M10D04","2020M10D05","2020M10D06","2020M10D07","2020M10D08","2020M10D09","2020M10D10","2020M10D11","2020M10D12","2020M10D13","2020M10D14","2020M10D15","2020M10D16","2020M10D17","2020M10D18","2020M10D19","2020M10D20","2020M10D21","2020M10D22","2020M10D23","2020M10D24","2020M10D25","2020M10D26","2020M10D27","2020M10D28","2020M10D29","2020M10D30","2020M10D31","2020M11D01","2020M11D02","2020M11D03","2020M11D04","2020M11D05","2020M11D06","2020M11D07","2020M11D08","2020M11D09","2020M11D10","2020M11D11","2020M11D12","2020M11D13","2020M11D14","2020M11D15","2020M11D16","2020M11D17","2020M11D18","2020M11D19","2020M11D20","2020M11D21","2020M11D22","2020M11D23","2020M11D24","2020M11D25","2020M11D26","2020M11D27","2020M11D28","2020M11D29","2020M11D30","2020M12D01","2020M12D02","2020M12D03","2020M12D04","2020M12D05","2020M12D06","2020M12D07","2020M12D08","2020M12D09","2020M12D10","2020M12D11","2020M12D12","2020M12D13","2020M12D14","2020M12D15","2020M12D16","2020M12D17","2020M12D18","2020M12D19","2020M12D20","2020M12D21","2020M12D22","2020M12D23","2020M12D24","2020M12D25","2020M12D26","2020M12D27","2020M12D28","2020M12D29","2020M12D30","2020M12D31"
"Total"
" ","Total",163,159,152,162,171,161,154,163,172,166,163,171,158,165,151,156,146,148,147,136,129,175,146,155,124,168,155,155,156,169,151,172,136,169,142,139,142,156,163,168,159,160,155,151,140,153,141,151,144,136,149,154,156,144,140,140,154,163,142,154,132,146,152,161,158,153,154,137,149,133,165,156,167,167,129,166,153,183,174,165,143,156,158,180,172,145,160,170,127,164,165,160,170,167,160,170,191,164,143,158,159,171,157,151,147,185,145,166,167,117,166,151,150,165,148,137,169,157,160,150,139,147,150,145,147,129,148,159,150,154,140,132,119,137,138,142,148,135,141,151,149,140,127,157,129,124,149,134,124,140,153,144,128,151,141,145,154,131,112,135,124,141,161,148,151,140,129,145,151,128,138,131,126,135,129,128,164,156,144,128,134,151,162,129,133,154,133,134,135,132,138,136,156,126,157,152,157,115,143,148,154,129,132,145,125,148,117,148,147,135,148,132,137,146,138,138,116,137,136,121,152,157,152,171,114,156,141,133,126,154,155,138,135,141,132,140,117,142,147,151,127,144,125,134,129,154,150,145,145,128,132,128,156,153,135,150,130,162,147,151,158,165,144,155,149,135,131,130,127,176,126,132,140,118,131,173,153,149,138,139,126,114,140,140,141,137,163,157,136,124,154,137,162,148,140,160,160,167,159,144,151,131,149,138,128,138,154,145,150,134,140,151,152,164,143,177,152,160,153,148,171,160,146,167,133,151,154,154,153,161,159,154,160,156,151,162,149,156,197,140,150,156,175,165,143,159,140,157,195,197,171,178,179,182,171,173,184,183,181,166,163,162,172,179,186,200
" ","0-4 years",0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,2,2,1,3,1,0,2,3,1,2,1,2,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,2,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,3,0,1,1,0,1,1,0,2,0,0,0,1,1,2,2,1,0,0,1,0,2,2,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,2,1,1,0,0,1,0,0,0,1,2,2,0,1,2,0,0,2,3,1,0,0,0,0,0,3,0,2,3,0,1,1,1,1,1,0,1,2,1,0,1,2,0,0,0,0,1,1,1,1,0,0,0,0,2,1,0,0,2,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,2,0,0,0,0,2,1,0,2,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,3,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,2,0,0,1,1,1,0,0,1,0,0,2,0,0,1,0,2,0,0,0,0,1,0,2,3,3,0,1,1,0,0,0,0,1,1,0,0,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
" ","5-9 years",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","10-14 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
" ","15-19 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
" ","20-24 years",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,2,2,1,0,0,1,1,0,0,0,0,0,0,1,2,1,0,0,2,0,0,1,0,1,0,0,0,1,2,0,2,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,2,1,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
" ","25-29 years",0,0,2,1,1,1,0,0,0,0,0,2,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,1,2,2,0,2,0,0,0,1,0,1,0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,2,1,1,0,0,1,0,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,2,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,3,1,0,0,0,1,1,2,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,1,2,0,0,0,0,0,0,2,2,0,1,2,1,0,0,1,2,0,0,1,0,0,0,1,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,1,2,0,1,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
" ","30-34 years",0,0,0,0,0,0,1,0,0,0,1,2,0,1,2,1,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,1,0,1,1,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,2,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,2,1,1,0,2,0,0,0,0,0,3,1,0,0,1,0,3,1,2,1,1,0,0,1,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
" ","35-39 years",0,1,1,0,1,0,0,2,0,2,1,2,2,1,0,3,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,1,0,1,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,2,0,1,2,1,2,1,1,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,2,0,0,1,0,0,0,0,1,0,1,1,0,2,1,1,1,1,1,1,0,0,2,0,0,0,1,1,0,0,0,2,1,1,0,0,1,2,0,2,0,1,1,0,0,0,2,0,0,2,1,0,0,0,1,2,1,1,0,0,1,1,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,2,0,1,2,1,0,0,1,1,0,1,0,0,1,0,0,2,0,0,1,0,2,2,1,0,0,0,0,2,0,0,1,0,2,0,2,0,1,2,0,0,1,1,0,0,2,0,0,1,2,1,0,3,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,3,1,2,0,0,0,2,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,2,0,0,1,2,0,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0,2,0,1,3,0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,3,1,1,1,0,1,0,2,1,1,0,1,1,2,0,1,3,1,0,0,0,1,0,0,2,1,1,0,3,1,0,1,0,0,0,0,0,0
