"Deaths per day (experimental statistics) by sex, age and time"

" "," ","2015M01D01","2015M01D02","2015M01D03","2015M01D04","2015M01D05","2015M01D06","2015M01D07","2015M01D08","2015M01D09","2015M01D10","2015M01D11","2015M01D12","2015M01D13","2015M01D14","2015M01D15","2015M01D16","2015M01D17","2015M01D18","2015M01D19","2015M01D20","2015M01D21","2015M01D22","2015M01D23","2015M01D24","2015M01D25","2015M01D26","2015M01D27","2015M01D28","2015M01D29","2015M01D30","2015M01D31","2015M02D01","2015M02D02","2015M02D03","2015M02D04","2015M02D05","2015M02D06","2015M02D07","2015M02D08","2015M02D09","2015M02D10","2015M02D11","2015M02D12","2015M02D13","2015M02D14","2015M02D15","2015M02D16","2015M02D17","2015M02D18","2015M02D19","2015M02D20","2015M02D21","2015M02D22","2015M02D23","2015M02D24","2015M02D25","2015M02D26","2015M02D27","2015M02D28","2015M03D01","2015M03D02","2015M03D03","2015M03D04","2015M03D05","2015M03D06","2015M03D07","2015M03D08","2015M03D09","2015M03D10","2015M03D11","2015M03D12","2015M03D13","2015M03D14","2015M03D15","2015M03D16","2015M03D17","2015M03D18","2015M03D19","2015M03D20","2015M03D21","2015M03D22","2015M03D23","2015M03D24","2015M03D25","2015M03D26","2015M03D27","2015M03D28","2015M03D29","2015M03D30","2015M03D31","2015M04D01","2015M04D02","2015M04D03","2015M04D04","2015M04D05","2015M04D06","2015M04D07","2015M04D08","2015M04D09","2015M04D10","2015M04D11","2015M04D12","2015M04D13","2015M04D14","2015M04D15","2015M04D16","2015M04D17","2015M04D18","2015M04D19","2015M04D20","2015M04D21","2015M04D22","2015M04D23","2015M04D24","2015M04D25","2015M04D26","2015M04D27","2015M04D28","2015M04D29","2015M04D30","2015M05D01","2015M05D02","2015M05D03","2015M05D04","2015M05D05","2015M05D06","2015M05D07","2015M05D08","2015M05D09","2015M05D10","2015M05D11","2015M05D12","2015M05D13","2015M05D14","2015M05D15","2015M05D16","2015M05D17","2015M05D18","2015M05D19","2015M05D20","2015M05D21","2015M05D22","2015M05D23","2015M05D24","2015M05D25","2015M05D26","2015M05D27","2015M05D28","2015M05D29","2015M05D30","2015M05D31","2015M06D01","2015M06D02","2015M06D03","2015M06D04","2015M06D05","2015M06D06","2015M06D07","2015M06D08","2015M06D09","2015M06D10","2015M06D11","2015M06D12","2015M06D13","2015M06D14","2015M06D15","2015M06D16","2015M06D17","2015M06D18","2015M06D19","2015M06D20","2015M06D21","2015M06D22","2015M06D23","2015M06D24","2015M06D25","2015M06D26","2015M06D27","2015M06D28","2015M06D29","2015M06D30","2015M07D01","2015M07D02","2015M07D03","2015M07D04","2015M07D05","2015M07D06","2015M07D07","2015M07D08","2015M07D09","2015M07D10","2015M07D11","2015M07D12","2015M07D13","2015M07D14","2015M07D15","2015M07D16","2015M07D17","2015M07D18","2015M07D19","2015M07D20","2015M07D21","2015M07D22","2015M07D23","2015M07D24","2015M07D25","2015M07D26","2015M07D27","2015M07D28","2015M07D29","2015M07D30","2015M07D31","2015M08D01","2015M08D02","2015M08D03","2015M08D04","2015M08D05","2015M08D06","2015M08D07","2015M08D08","2015M08D09","2015M08D10","2015M08D11","2015M08D12","2015M08D13","2015M08D14","2015M08D15","2015M08D16","2015M08D17","2015M08D18","2015M08D19","2015M08D20","2015M08D21","2015M08D22","2015M08D23","2015M08D24","2015M08D25","2015M08D26","2015M08D27","2015M08D28","2015M08D29","2015M08D30","2015M08D31","2015M09D01","2015M09D02","2015M09D03","2015M09D04","2015M09D05","2015M09D06","2015M09D07","2015M09D08","2015M09D09","2015M09D10","2015M09D11","2015M09D12","2015M09D13","2015M09D14","2015M09D15","2015M09D16","2015M09D17","2015M09D18","2015M09D19","2015M09D20","2015M09D21","2015M09D22","2015M09D23","2015M09D24","2015M09D25","2015M09D26","2015M09D27","2015M09D28","2015M09D29","2015M09D30","2015M10D01","2015M10D02","2015M10D03","2015M10D04","2015M10D05","2015M10D06","2015M10D07","2015M10D08","2015M10D09","2015M10D10","2015M10D11","2015M10D12","2015M10D13","2015M10D14","2015M10D15","2015M10D16","2015M10D17","2015M10D18","2015M10D19","2015M10D20","2015M10D21","2015M10D22","2015M10D23","2015M10D24","2015M10D25","2015M10D26","2015M10D27","2015M10D28","2015M10D29","2015M10D30","2015M10D31","2015M11D01","2015M11D02","2015M11D03","2015M11D04","2015M11D05","2015M11D06","2015M11D07","2015M11D08","2015M11D09","2015M11D10","2015M11D11","2015M11D12","2015M11D13","2015M11D14","2015M11D15","2015M11D16","2015M11D17","2015M11D18","2015M11D19","2015M11D20","2015M11D21","2015M11D22","2015M11D23","2015M11D24","2015M11D25","2015M11D26","2015M11D27","2015M11D28","2015M11D29","2015M11D30","2015M12D01","2015M12D02","2015M12D03","2015M12D04","2015M12D05","2015M12D06","2015M12D07","2015M12D08","2015M12D09","2015M12D10","2015M12D11","2015M12D12","2015M12D13","2015M12D14","2015M12D15","2015M12D16","2015M12D17","2015M12D18","2015M12D19","2015M12D20","2015M12D21","2015M12D22","2015M12D23","2015M12D24","2015M12D25","2015M12D26","2015M12D27","2015M12D28","2015M12D29","2015M12D30","2015M12D31"
"Total"
" ","Total",161,188,166,133,158,150,166,172,158,142,162,178,149,178,165,148,131,144,158,149,141,154,174,157,135,139,160,149,153,168,159,158,178,158,151,147,175,156,153,158,165,155,151,160,167,150,158,152,146,167,189,164,155,172,177,150,170,161,165,182,166,173,160,188,161,188,174,171,159,195,169,178,153,159,162,165,168,145,153,139,154,152,162,160,156,164,146,153,138,152,146,157,140,147,164,117,165,164,152,159,169,155,144,159,143,163,149,144,150,145,113,141,134,147,134,120,141,138,139,146,156,127,149,147,119,145,141,155,138,133,152,142,136,108,138,118,127,139,144,138,152,115,153,133,117,129,125,155,160,143,148,149,147,146,133,138,130,116,121,146,150,139,151,163,147,125,151,118,128,140,131,120,130,133,131,114,138,137,114,131,143,133,114,149,136,136,143,143,129,137,126,136,137,145,134,131,97,141,138,131,122,147,147,132,137,121,145,141,134,144,124,129,126,149,139,146,135,126,151,131,101,151,164,124,124,132,134,124,140,116,127,131,110,149,153,142,128,122,123,125,126,135,129,120,141,117,117,120,135,126,137,121,123,123,162,121,153,144,136,147,112,126,124,126,129,129,141,146,146,146,130,130,131,139,139,148,142,138,133,123,117,130,149,137,128,125,116,146,149,133,151,128,138,137,157,159,136,142,154,118,142,151,149,131,148,139,123,158,134,141,125,151,139,146,171,139,128,118,144,153,120,146,145,132,152,138,151,158,141,152,152,169,160,160,158,158,144,162,175,148,135,152,133,166,164,144,139,155,141,134,152,166,151,125,137,148,154,144,129,130,152,108,149,170,158
" ","0-4 years",0,1,1,0,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,4,1,0,0,1,0,1,1,0,2,0,1,0,4,0,1,0,0,2,0,0,3,2,1,1,2,0,0,2,1,0,0,0,1,1,3,0,1,0,0,0,0,0,2,1,0,1,0,1,1,2,1,2,0,0,0,4,1,1,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,2,4,1,1,0,0,1,2,1,3,0,1,0,1,0,0,2,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,2,2,0,0,3,0,1,2,0,1,1,0,1,0,0,1,1,0,2,0,0,0,0,0,2,1,1,1,0,1,0,1,0,1,0,1,0,0,2,1,1,0,0,0,1,2,1,0,0,0,0,1,0,0,0,1,4,1,2,0,0,0,2,1,1,1,0,0,0,0,1,0,1,2,0,2,1,0,3,0,0,2,1,1,2,1,1,0,0,1,2,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,1,3,2,0,0,1,0,2,1,1,0,2,0,1,0,1,2,0,0,0,2,1,0,0,1,0,0,0,0,1,0,2,0,2,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0
" ","5-9 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","10-14 years",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" ","15-19 years",0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2
" ","20-24 years",1,0,2,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,2,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
" ","25-29 years",3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,1,1,0,1,1,0,0,1,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1
" ","30-34 years",0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,1,1,2,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,1,1,0,1,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,2,1,0,3,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,2,1,1,1,0,1,0,1,0,0,1,1,0
" ","35-39 years",1,1,0,1,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,1,2,0,1,0,0,1,2,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,1,2,1,2,0,1,0,2,0,0,1,2,0,0,1,1,1,2,2,1,1,1,0,2,2,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,1,0,1,2,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2,0,2,1,1,1,1,0,0,1,1,1,1,0,1,0,2,2,2,0,2,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,1,0,1,0,0,0,0,2,1,2,0,1,1,1,1,0,1,2,0,1,1,1,2,1,2,0,0,2,0,1,1,0,0,1,1,2,1,0,2,0,2,3,0,0,0,0,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,2,1,1,3,0,1,0,0,0,2,3,2,0,0,1,0,2,0,0,0,2,2,0,0,0,1,2,1,1,0,0,1,0,2,0,2,2,1,0,0
